"Date","MLPA.Open","MLPA.High","MLPA.Low","MLPA.Close","MLPA.Volume","MLPA.Adjusted"
2014-02-07,20.087,20.212,20.087,16.07,68300,12.808414
2014-02-10,20.162,20.162,19.999,15.99,40900,12.744649
2014-02-11,20.137,20.187,20.062,16.059999,85200,12.800443
2014-02-12,20.15,20.212,20.124,16.07,59300,12.808414
2014-02-13,20.25,20.338,20.175,16.110001,71800,12.840295
2014-02-14,20.237,20.288,20.162,16.110001,56800,12.840295
2014-02-18,20.325,20.325,20.162,16.09,39400,12.824354
2014-02-19,20.2,20.2,20.037,15.99,50800,12.744649
2014-02-20,20.15,20.15,19.924,15.93,41300,12.696829
2014-02-21,19.961,20.012,19.949,15.92,38500,12.688857
2014-02-24,19.874,19.961,19.861,15.85,47700,12.633065
2014-02-25,19.861,19.974,19.848,15.88,24200,12.656976
2014-02-26,20.037,20.099,19.861,16.02,44800,12.768563
2014-02-27,20.074,20.087,19.999,16.01,33900,12.760592
2014-02-28,19.974,19.999,19.961,15.91,20500,12.680887
2014-03-03,19.986,20.012,19.899,15.95,41500,12.712769
2014-03-04,20.112,20.112,19.986,15.99,33900,12.744649
2014-03-05,20.074,20.112,20.037,16.01,18600,12.760592
2014-03-06,20.15,20.15,20.049,16,21600,12.752621
2014-03-07,20.175,20.175,20.049,16,15100,12.752621
2014-03-10,20.175,20.175,19.974,15.96,16900,12.720738
2014-03-11,20.049,20.049,19.936,15.94,31300,12.704797
2014-03-12,19.949,19.986,19.924,15.91,25300,12.680887
2014-03-13,20.012,20.012,19.874,15.88,23700,12.656976
2014-03-14,19.949,20.049,19.936,15.94,29700,12.704797
2014-03-17,20.049,20.099,20.012,16.01,23600,12.760592
2014-03-18,20.137,20.212,20.099,16.08,104400,12.816382
2014-03-19,20.062,20.175,19.999,15.97,64000,12.72871
2014-03-20,19.999,19.999,19.911,15.91,22000,12.680887
2014-03-21,20.062,20.074,19.999,15.98,25600,12.736678
2014-03-24,20.062,20.062,19.911,15.93,30600,12.696829
2014-03-25,20.124,20.124,19.949,15.91,24700,12.680887
2014-03-26,20.062,20.062,19.949,15.93,38700,12.696829
2014-03-27,20.099,20.099,19.961,15.98,18000,12.736678
2014-03-28,20.087,20.137,20.074,16.049999,35100,12.792472
2014-03-31,20.124,20.25,20.124,16.139999,24500,12.864206
2014-04-01,20.288,20.413,20.237,16.26,98700,12.959851
2014-04-02,20.413,20.438,20.35,16.280001,25100,12.975791
2014-04-03,20.476,20.501,20.388,16.290001,32600,12.983764
2014-04-04,20.413,20.576,20.413,16.32,22800,13.007673
2014-04-07,20.35,20.476,20.313,16.200001,31100,12.912027
2014-04-08,20.363,20.476,20.338,16.290001,23600,12.983764
2014-04-09,20.363,20.488,20.363,16.290001,28700,12.983764
2014-04-10,20.426,20.539,20.288,16.23,37900,12.935938
