"Date","ZMLP.Open","ZMLP.High","ZMLP.Low","ZMLP.Close","ZMLP.Volume","ZMLP.Adjusted"
2015-04-27,38.682,38.682,38.075,33.360001,41800,29.149998
2015-04-28,38.292,38.441,38.052,33.59,26500,29.350971
2015-04-29,38.487,38.968,38.292,33.939999,12800,29.656799
2015-04-30,38.899,38.979,38.59,33.880001,19400,29.604374
2015-05-01,38.945,38.945,38.338,33.709999,22400,29.45583
2015-05-04,38.739,38.739,38.361,33.610001,64500,29.36845
2015-05-05,38.796,38.796,38.373,33.529999,25900,29.298542
2015-05-06,38.647,38.647,37.766,33.099998,17300,28.922808
2015-05-07,37.766,37.789,37.034,32.509998,21600,28.407265
2015-05-08,37.56,37.56,37.056,32.630001,13800,28.512123
2015-05-11,37.446,37.446,37.079,32.619999,9600,28.503386
2015-05-12,37.251,37.583,37.182,32.700001,18100,28.573288
2015-05-13,37.743,37.743,37.171,32.779999,30500,28.643192
2015-05-14,37.777,37.8,37.457,32.73,15700,28.599503
2015-05-15,37.64,37.732,37.308,32.939999,17600,28.782997
2015-05-18,37.583,37.812,37.583,33.029999,8900,28.861643
2015-05-19,37.594,37.606,37.388,32.759998,16300,28.625715
2015-05-20,37.331,37.423,37.217,32.580002,33600,28.468433
2015-05-21,37.411,37.571,37.4,32.830002,24100,28.686886
2015-05-22,37.663,37.663,37.423,32.82,33100,28.678143
2015-05-26,37.217,37.217,36.988,32.490002,24600,28.389793
2015-05-27,37.205,37.205,36.954,32.450001,14000,28.354839
2015-05-28,37.262,37.262,36.702,32.139999,29000,28.08396
2015-05-29,36.645,36.931,36.645,32.209999,17200,28.145124
2015-06-01,36.976,36.976,36.622,32.16,27400,28.101437
2015-06-02,36.713,37.056,36.713,32.349998,21200,28.267458
2015-06-03,36.954,36.954,36.542,31.940001,14000,27.909201
2015-06-04,36.439,36.439,35.718,31.209999,45100,27.271326
2015-06-05,35.912,36.015,35.809,31.35,16400,27.39366
2015-06-08,35.992,35.992,35.374,30.91,43600,27.009184
2015-06-09,35.477,35.489,35.317,30.940001,12100,27.0354
2015-06-10,35.512,35.649,35.294,30.870001,17900,26.974232
2015-06-11,35.351,35.351,34.985,30.73,85900,26.851902
2015-06-12,35.008,35.054,34.871,30.59,18100,26.72957
2015-06-15,35.191,35.191,34.71,30.51,22400,26.659664
2015-06-16,34.653,34.939,34.653,30.450001,12500,26.607237
2015-06-17,35.134,35.134,34.527,30.33,21600,26.502382
2015-06-18,34.539,34.848,34.539,30.309999,19000,26.484903
