"Date","JNK.Open","JNK.High","JNK.Low","JNK.Close","JNK.Volume","JNK.Adjusted"
2016-04-28,38.175,38.349,38.165,35.240002,9450300,32.521008
2016-04-29,38.175,38.295,38.045,35.299999,14042300,32.576378
2016-05-02,37.775,37.894,37.775,35.150002,5775300,32.605125
2016-05-03,37.623,37.623,37.366,34.880001,10191600,32.522148
2016-05-04,37.323,37.366,37.184,34.700001,16074400,32.354317
2016-05-05,37.355,37.355,37.194,34.709999,13142600,32.363644
2016-05-06,37.087,37.334,37.066,34.700001,11816200,32.354317
2016-05-09,37.216,37.269,37.151,34.68,8399500,32.335667
2016-05-10,37.226,37.516,37.226,34.950001,10834100,32.587414
2016-05-11,37.516,37.634,37.43,34.939999,11564400,32.578094
2016-05-12,37.591,37.591,37.43,34.939999,7401600,32.578094
2016-05-13,37.484,37.527,37.28,34.799999,10418500,32.447552
2016-05-16,37.42,37.559,37.355,35.009998,8238000,32.64336
2016-05-17,37.602,37.602,37.462,34.98,9838600,32.615383
2016-05-18,37.505,37.634,37.398,34.950001,11947100,32.587414
2016-05-19,37.355,37.43,37.259,34.869999,11835300,32.512829
2016-05-20,37.398,37.559,37.398,34.990002,11935100,32.624714
2016-05-23,37.516,37.591,37.473,35.009998,6173800,32.64336
2016-05-24,37.666,37.827,37.623,35.220001,10651000,32.839169
2016-05-25,37.87,37.913,37.827,35.299999,7951500,32.913754
2016-05-26,37.956,37.956,37.763,35.23,5791800,32.848484
2016-05-27,37.752,37.827,37.741,35.27,6017200,32.885792
2016-05-31,37.859,37.902,37.773,35.23,5428900,32.848484
2016-06-01,37.317,37.413,37.264,35.060001,15068400,32.864422
2016-06-02,37.37,37.424,37.285,35.07,7060500,32.873798
2016-06-03,37.488,37.53,37.381,35.130001,9382300,32.930038
2016-06-06,37.584,37.68,37.541,35.299999,10750200,33.089394
2016-06-07,37.701,37.872,37.68,35.470001,11509200,33.248745
2016-06-08,37.872,38.032,37.872,35.630001,8112000,33.398724
2016-06-09,37.925,37.946,37.818,35.470001,9151100,33.248745
2016-06-10,37.701,37.765,37.562,35.279999,9927400,33.070644
2016-06-13,37.573,37.637,37.402,35.080002,8651200,32.883167
2016-06-14,37.36,37.392,37.178,34.959999,17947100,32.770683
2016-06-15,37.37,37.456,37.221,34.919998,17466000,32.733196
2016-06-16,37.157,37.285,36.986,34.91,23329900,32.723816
2016-06-17,37.285,37.36,37.232,34.950001,13859800,32.761314
2016-06-20,37.637,37.701,37.53,35.200001,9836300,32.995655
2016-06-21,37.669,37.765,37.584,35.400002,14176700,33.183128
2016-06-22,37.722,37.786,37.68,35.369999,21429600,33.15501
