"Date","TFI.Open","TFI.High","TFI.Low","TFI.Close","TFI.Volume","TFI.Adjusted"
2016-04-07,50.748,51.015,50.748,49.66,210700,48.341114
2016-04-08,51.118,51.118,50.964,49.639999,173000,48.32164
2016-04-11,51.128,51.128,50.984,49.650002,140600,48.331387
2016-04-12,50.984,51.056,50.953,49.610001,255300,48.292439
2016-04-13,50.964,51.005,50.943,49.610001,347200,48.292439
2016-04-14,50.964,51.025,50.953,49.66,296600,48.341114
2016-04-15,51.015,51.087,50.994,49.709999,130700,48.389782
2016-04-18,51.005,51.097,51.005,49.740002,161700,48.418987
2016-04-19,51.097,51.097,51.015,49.689999,139800,48.370316
2016-04-20,51.015,51.128,51.015,49.68,165600,48.360584
2016-04-21,51.056,51.056,50.964,49.610001,192100,48.292439
2016-04-22,50.953,51.056,50.953,49.650002,995500,48.331387
2016-04-25,51.035,51.035,50.953,49.610001,160900,48.292439
2016-04-26,51.005,51.035,50.922,49.59,239600,48.272976
2016-04-27,50.994,51.005,50.933,49.650002,143700,48.331387
2016-04-28,50.953,51.097,50.933,49.709999,493900,48.389782
2016-04-29,50.851,51.118,50.851,49.75,370700,48.428722
2016-05-02,50.912,50.943,50.83,49.57,168900,48.34095
2016-05-03,50.779,50.943,50.779,49.73,296300,48.585197
2016-05-04,50.943,50.963,50.902,49.790001,115900,48.643826
2016-05-05,50.943,50.994,50.922,49.790001,225500,48.643826
2016-05-06,50.984,51.025,50.963,49.810001,110600,48.663364
2016-05-09,50.81,51.117,50.81,49.84,213000,48.692669
2016-05-10,51.025,51.117,50.953,49.830002,115500,48.682899
2016-05-11,51.014,51.106,51.004,49.93,421300,48.780598
2016-05-12,51.117,51.117,50.912,49.900002,239000,48.751293
2016-05-13,51.147,51.188,51.106,50.009998,138600,48.858749
2016-05-16,51.168,51.168,51.025,49.869999,157900,48.721977
2016-05-17,51.076,51.199,51.076,49.990002,251300,48.839218
2016-05-18,51.199,51.199,51.004,49.830002,319100,48.682899
2016-05-19,51.066,51.096,51.025,49.860001,224100,48.712212
2016-05-20,50.994,51.066,50.984,49.84,163400,48.692669
2016-05-23,51.025,51.025,50.973,49.830002,122200,48.682899
2016-05-24,50.943,50.973,50.881,49.73,298600,48.585197
2016-05-25,50.922,51.106,50.881,49.73,228200,48.585197
2016-05-26,50.912,50.943,50.871,49.759998,149500,48.614506
2016-05-27,51.055,51.055,50.861,49.689999,165300,48.54612
2016-05-31,50.83,50.902,50.81,49.700001,232600,48.555901
2016-06-01,50.792,50.792,50.721,49.639999,140500,48.582321
2016-06-02,50.772,50.772,50.721,49.650002,478000,48.59211
2016-06-03,50.782,50.874,50.782,49.759998,240700,48.69976
2016-06-06,50.915,50.946,50.792,49.720001,227200,48.66061
2016-06-07,50.833,50.935,50.833,49.799999,163600,48.738911
2016-06-08,50.925,51.078,50.864,49.880001,649300,48.817204
2016-06-09,51.017,51.068,50.966,49.970001,351100,48.905285
2016-06-10,51.089,51.16,50.997,50.07,140900,49.003155
2016-06-13,51.211,51.375,51.211,50.18,357800,49.110809
2016-06-14,51.293,51.354,51.221,50.23,231800,49.159748
2016-06-15,51.313,51.456,51.283,50.299999,111200,49.22826
2016-06-16,51.385,51.497,51.181,50.389999,243000,49.316341
2016-06-17,51.528,51.569,51.426,50.389999,103400,49.316341
2016-06-20,51.446,51.456,51.364,50.27,190500,49.198895
2016-06-21,51.416,51.416,51.324,50.23,157400,49.159748
2016-06-22,51.375,51.507,51.313,50.240002,184900,49.169533
2016-06-23,51.191,51.456,51.14,50.049999,211500,48.983582
2016-06-24,51.896,52.09,51.579,50.52,247900,49.443577
2016-06-27,51.773,51.906,51.61,50.759998,430100,49.678444
2016-06-28,51.661,51.988,51.661,50.740002,138200,49.658882
2016-06-29,51.794,51.794,51.671,50.57,170100,49.492504
2016-06-30,51.753,51.753,51.681,50.59,515600,49.512074
2016-07-01,51.672,51.672,51.56,50.619999,173400,49.628746
2016-07-05,51.743,51.774,51.723,50.709999,891100,49.71698
2016-07-06,51.855,51.855,51.723,50.73,139700,49.736591
2016-07-07,51.794,51.794,51.692,50.73,206400,49.736591
2016-07-08,51.794,51.825,51.672,50.720001,113300,49.726791
2016-07-11,51.6,51.764,51.6,50.619999,157000,49.628746
2016-07-12,51.631,51.692,51.529,50.529999,640400,49.540504
2016-07-13,51.56,51.682,51.509,50.529999,136800,49.540504
2016-07-14,51.529,51.529,51.417,50.419998,253600,49.432663
2016-07-15,51.539,51.539,51.345,50.34,332800,49.354225
2016-07-18,51.366,51.407,51.284,50.349998,148700,49.364033
2016-07-19,51.376,51.376,51.315,50.310001,206100,49.324821
2016-07-20,51.345,51.345,51.254,50.27,1030100,49.285595
2016-07-21,51.233,51.345,51.233,50.32,424100,49.334621
2016-07-22,51.274,51.366,51.233,50.279999,1900300,49.29541
2016-07-25,51.325,51.335,51.264,50.259998,230400,49.275799
