"Date","SCHP.Open","SCHP.High","SCHP.Low","SCHP.Close","SCHP.Volume","SCHP.Adjusted"
2014-02-14,55.745,55.745,55.621,53.860001,25700,52.096584
2014-02-18,55.766,55.859,55.735,53.970001,53100,52.202988
2014-02-19,55.88,55.88,55.621,53.84,20400,52.077236
2014-02-20,55.611,55.631,55.394,53.669998,42600,51.912807
2014-02-21,55.445,55.621,55.445,53.799999,27500,52.038555
2014-02-24,55.652,55.652,55.528,53.790001,23800,52.02887
2014-02-25,55.714,55.818,55.714,53.98,24800,52.212658
2014-02-26,55.838,55.962,55.838,54.130001,35800,52.357742
2014-02-27,55.993,56.076,55.962,54.16,37100,52.386757
2014-02-28,56.004,56.066,55.838,54.23,45400,52.454475
2014-03-03,56.221,56.293,56.159,54.450001,87000,52.667271
2014-03-04,56.138,56.138,55.9,54.080002,68100,52.309383
2014-03-05,55.9,56.045,55.89,54.200001,53400,52.425453
2014-03-06,55.859,55.962,55.828,54.080002,49500,52.309383
2014-03-07,55.724,55.797,55.704,53.939999,45300,52.173965
2014-03-10,55.724,55.828,55.724,53.98,44100,52.212658
2014-03-11,55.776,55.807,55.693,53.970001,50200,52.202988
2014-03-12,55.89,55.942,55.818,54.040001,30600,52.270691
2014-03-13,55.776,56.117,55.776,54.279999,33400,52.502831
2014-03-14,56.19,56.19,56.076,54.32,61800,52.541515
2014-03-17,56.076,56.107,55.983,54.150002,40400,52.377098
2014-03-18,56.004,56.107,55.993,54.240002,31700,52.464149
2014-03-19,56.035,56.035,55.538,53.77,24800,52.009529
2014-03-20,55.425,55.497,55.394,53.66,26200,51.90313
2014-03-21,55.528,55.642,55.476,53.790001,29600,52.02887
2014-03-24,55.58,55.745,55.58,53.91,38400,52.144947
2014-03-25,55.683,55.755,55.621,53.869999,18000,52.106258
2014-03-26,55.683,55.89,55.683,54.060001,22300,52.290039
2014-03-27,55.9,55.993,55.859,54.099998,28400,52.32872
2014-03-28,55.9,55.911,55.693,53.91,16500,52.144947
2014-03-31,55.652,55.776,55.642,53.950001,30000,52.183643
2014-04-01,55.693,55.693,55.6,53.799999,98700,52.038555
2014-04-02,55.538,55.538,55.456,53.669998,36300,51.912807
2014-04-03,55.487,55.6,55.487,53.709999,31500,51.951492
2014-04-04,55.6,55.838,55.6,53.919998,38300,52.154621
