"Date","VNQI.Open","VNQI.High","VNQI.Low","VNQI.Close","VNQI.Volume","VNQI.Adjusted"
2014-04-28,62.22,62.231,61.722,54.93,71000,48.582462
2014-04-29,62.638,62.661,62.231,55.290001,55600,48.900867
2014-04-30,62.356,62.559,62.186,55.290001,61700,48.900867
2014-05-01,62.74,62.74,62.582,55.450001,92200,49.042377
2014-05-02,62.751,62.887,62.559,55.48,141600,49.068913
2014-05-05,62.299,62.65,62.276,55.41,100300,49.006996
2014-05-06,62.763,62.898,62.582,55.490002,86700,49.077759
2014-05-07,62.932,63.045,62.627,55.720001,52200,49.281174
2014-05-08,62.989,63.17,62.808,55.630001,158700,49.201576
2014-05-09,63.113,63.147,62.83,55.77,150300,49.325401
2014-05-12,63.554,63.645,63.351,56.23,89700,49.732235
2014-05-13,63.927,64.029,63.78,56.549999,79200,50.015266
2014-05-14,64.04,64.334,64.04,56.75,119900,50.19215
2014-05-15,64.108,64.266,63.735,56.599998,71000,50.059486
2014-05-16,64.379,64.391,64.006,56.91,87100,50.333656
2014-05-19,64.165,64.289,64.018,56.849998,90100,50.280598
2014-05-20,63.972,63.972,63.509,56.279999,90900,49.776463
2014-05-21,64.052,64.108,63.825,56.639999,110100,50.094868
2014-05-22,64.108,64.142,63.95,56.639999,52100,50.094868
2014-05-23,64.289,64.685,64.289,57.130001,95300,50.528248
2014-05-27,64.447,64.787,64.425,57.23,226400,50.616684
2014-05-28,64.673,64.673,64.47,57.150002,87300,50.545933
2014-05-29,64.934,65.001,64.73,57.490002,56200,50.846638
2014-05-30,65.069,65.431,64.967,57.869999,544200,51.182724
2014-06-02,65.488,65.635,65.182,57.869999,212400,51.182724
2014-06-03,65.51,65.567,65.25,57.889999,147400,51.20042
2014-06-04,65.069,65.239,64.9,57.599998,176400,50.943924
2014-06-05,65.352,65.601,65.182,57.970001,98800,51.271172
2014-06-06,65.646,65.906,65.646,58.27,42900,51.53651
2014-06-09,65.917,66.03,65.759,58.32,83800,51.580723
2014-06-10,65.578,65.578,65.465,57.950001,136000,51.253487
2014-06-11,65.126,65.239,65.103,57.68,143500,51.014683
2014-06-12,65.544,65.544,65.024,57.580002,130200,50.926247
2014-06-13,65.386,65.386,64.99,57.650002,146300,50.988155
2014-06-16,65.171,65.171,64.9,57.52,129100,50.873173
2014-06-17,65.024,65.024,64.56,57.389999,99000,50.758198
2014-06-18,65.08,65.408,64.753,57.84,67400,51.156197
2014-06-19,65.612,65.748,65.374,57.990002,55200,51.288864
2014-06-20,65.872,65.872,65.589,58.220001,193800,51.492287
2014-06-23,65.544,65.567,65.295,57.900002,52600,51.209267
2014-06-24,64.651,64.775,64.269,57.240002,66600,50.935184
2014-06-25,64.314,64.887,64.314,57.630001,70300,51.282234
2014-06-26,64.853,65.179,64.685,57.889999,51400,51.513584
2014-06-27,65.089,65.179,64.898,58,92400,51.611473
2014-06-30,65.247,65.303,65.011,58.049999,74200,51.655968
2014-07-01,65.528,65.573,65.292,58.259998,87300,51.842834
2014-07-02,65.561,65.651,65.46,58.330002,110000,51.905128
2014-07-03,65.741,65.809,65.64,58.490002,46100,52.047508
2014-07-07,65.707,65.707,65.382,58.290001,112700,51.86953
2014-07-08,65.618,65.685,65.089,58.02,78800,51.629269
2014-07-09,65.483,65.663,65.314,58.389999,180700,51.958519
2014-07-10,65.157,65.651,65.011,58.369999,10854300,51.940716
2014-07-11,65.606,65.752,65.404,58.349998,240000,51.922924
2014-07-14,65.899,65.921,65.719,58.48,136300,52.038605
2014-07-15,66.011,66.022,65.539,58.549999,131500,52.100891
2014-07-16,66.303,66.326,66.202,59.009998,92500,52.510227
2014-07-17,66.146,66.146,65.539,58.369999,173500,51.940716
2014-07-18,66.022,66.303,65.966,58.950001,66700,52.456841
2014-07-21,65.977,66.191,65.752,58.880001,114000,52.394547
2014-07-22,66.449,66.584,66.393,59.150002,95800,52.634808
2014-07-23,66.921,66.932,66.55,59.439999,81600,52.89286
2014-07-24,66.899,66.899,66.595,59.41,108000,52.866169
2014-07-25,66.595,66.595,66.258,59.02,92400,52.519115
2014-07-28,66.191,66.607,66.191,59.220001,105400,52.697098
2014-07-29,66.831,66.921,66.55,59.220001,140700,52.697098
2014-07-30,66.809,66.809,66.303,59.220001,84000,52.697098
2014-07-31,66.483,66.483,65.865,58.650002,91100,52.18988
2014-08-01,65.775,65.932,65.494,58.509998,103200,52.065304
2014-08-04,65.887,66.033,65.55,58.66,112600,52.198784
2014-08-05,65.629,65.629,64.91,57.860001,131500,51.486893
2014-08-06,64.617,64.91,64.438,57.630001,88700,51.282234
2014-08-07,64.988,64.988,64.381,57.419998,108600,51.09536
2014-08-08,64.505,64.943,64.426,57.709999,121600,51.353413
2014-08-11,65.415,65.539,65.224,58.25,103100,51.833939
2014-08-12,65.471,65.539,65.247,58.32,119600,51.896225
2014-08-13,66.303,66.303,65.797,58.740002,90400,52.269966
2014-08-14,66.056,66.202,65.955,58.77,141600,52.296661
2014-08-15,66.438,66.494,65.809,58.91,91800,52.421242
2014-08-18,66.348,66.449,66.213,59.110001,83000,52.599209
2014-08-19,66.719,66.786,66.651,59.419998,86400,52.875065
2014-08-20,66.472,66.674,66.415,59.150002,92600,52.634808
2014-08-21,66.708,66.798,66.528,59.389999,137800,52.848377
2014-08-22,66.719,66.831,66.371,59.23,76700,52.705997
2014-08-25,66.562,66.887,66.528,59.41,105600,52.866169
2014-08-26,66.764,66.842,66.674,59.360001,108700,52.821678
2014-08-27,66.741,66.82,66.629,59.349998,68900,52.812775
2014-08-28,66.314,66.371,66.157,59,108500,52.501328
2014-08-29,66.135,66.359,65.988,58.799999,145400,52.323353
2014-09-02,66.191,66.359,66.067,58.919998,179600,52.430138
2014-09-03,66.764,67.022,66.764,59.529999,115900,52.972946
2014-09-04,66.82,66.865,66.359,59.200001,85900,52.679295
2014-09-05,66.314,66.483,66.157,59.16,217500,52.643707
2014-09-08,66.191,66.191,65.741,58.580002,165200,52.127594
2014-09-09,65.483,65.483,65.011,58.009998,129800,51.620365
2014-09-10,65.112,65.314,64.977,58.110001,188400,51.709358
2014-09-11,64.775,64.955,64.719,57.779999,121100,51.41571
2014-09-12,64.842,64.842,64.426,57.439999,228700,51.113155
2014-09-15,64.303,64.336,63.909,56.900002,105800,50.632637
2014-09-16,63.741,64.247,63.359,57.009998,168800,50.730511
2014-09-17,63.82,63.932,63.359,56.380001,250500,50.16991
2014-09-18,63.64,63.685,63.471,56.599998,123000,50.365681
2014-09-19,63.673,63.673,63.1,56.259998,99400,50.063126
2014-09-22,63.078,63.336,62.729,56.040001,217800,49.867363
2014-09-23,62.921,62.965,62.651,55.849998,127600,49.698288
2014-09-24,61.768,62.236,61.556,55.599998,164100,49.912842
2014-09-25,61.601,61.935,60.999,54.799999,168800,49.194675
2014-09-26,61.4,61.757,61.356,55.23,104600,49.580688
2014-09-29,60.754,61.144,60.543,54.529999,107400,48.952293
2014-09-30,60.71,60.766,60.465,54.450001,136600,48.880478
2014-10-01,60.353,60.487,60.03,53.990002,334600,48.467525
2014-10-02,59.886,60.086,59.173,53.700001,154700,48.207191
2014-10-03,60.309,60.309,59.663,53.869999,150000,48.359802
2014-10-06,60.197,60.576,60.053,54.080002,125400,48.548325
2014-10-07,60.287,60.32,59.596,53.560001,352700,48.081509
2014-10-08,59.841,60.732,59.529,54.459999,135700,48.88945
2014-10-09,60.532,60.532,59.64,53.560001,193100,48.081509
2014-10-10,59.618,59.952,59.206,53.18,204600,47.740379
2014-10-13,59.429,59.752,58.95,52.93,126700,47.515953
2014-10-14,59.484,59.718,59.106,53.150002,159100,47.713448
2014-10-15,59.05,59.295,58.114,53.139999,207900,47.704468
2014-10-16,58.237,59.384,58.192,52.98,154600,47.560837
2014-10-17,59.774,59.952,59.395,53.66,248900,48.171284
2014-10-20,59.407,60.209,59.407,53.98,641300,48.458553
2014-10-21,60.52,60.799,60.442,54.470001,109900,48.898434
2014-10-22,60.743,60.877,60.32,54.200001,151800,48.656048
2014-10-23,61.044,61.256,60.71,54.73,122900,49.131832
2014-10-24,61.055,61.189,60.799,54.880001,139800,49.266495
2014-10-27,60.899,60.955,60.621,54.610001,221400,49.024109
2014-10-28,61.267,61.545,61.044,55.099998,355200,49.463989
2014-10-29,61.757,61.757,60.944,54.959999,141600,49.33831
2014-10-30,61.311,61.868,61.267,55.41,147100,49.742279
2014-10-31,63.005,63.394,62.871,56.860001,157000,51.043968
2014-11-03,63.328,63.484,63.116,56.919998,288600,51.097828
2014-11-04,62.871,62.993,62.537,56.450001,164100,50.675903
2014-11-05,62.37,62.436,62.058,55.869999,266600,50.155228
2014-11-06,61.679,61.724,61.367,55.169998,193800,49.526825
2014-11-07,61.245,61.378,61.022,55.099998,216500,49.463989
2014-11-10,61.746,61.891,61.724,55.490002,132400,49.814098
2014-11-11,61.991,62.18,61.924,55.77,135100,50.065456
2014-11-12,62.091,62.18,61.98,55.77,100600,50.065456
2014-11-13,62.381,62.459,62.102,55.869999,79300,50.155228
2014-11-14,62.537,62.849,62.347,56.389999,117300,50.622036
2014-11-17,62.425,62.47,62.214,56.060001,163000,50.325798
2014-11-18,62.37,62.615,62.247,56.119999,106300,50.379662
2014-11-19,62.37,62.492,62.08,55.939999,104000,50.218063
2014-11-20,61.779,61.991,61.712,55.599998,87400,49.912842
2014-11-21,62.837,62.837,62.28,56.189999,154900,50.442486
2014-11-24,62.971,62.971,62.659,56.419998,589500,50.648975
2014-11-25,62.837,62.915,62.492,56.18,306400,50.433521
2014-11-26,62.726,62.882,62.592,56.41,68600,50.639996
2014-11-28,62.915,62.915,62.604,56.220001,44200,50.469437
2014-12-01,62.737,62.737,62.258,56.130001,119600,50.388634
2014-12-02,62.849,62.971,62.715,56.5,186500,50.720783
2014-12-03,62.971,62.971,62.782,56.459999,103000,50.684879
2014-12-04,62.526,62.57,62.236,56.009998,338600,50.280907
2014-12-05,62.414,62.559,62.214,56,581200,50.271927
2014-12-08,61.835,61.868,61.423,55.169998,212500,49.526825
2014-12-09,61.378,61.59,61.133,55.290001,290800,49.634556
2014-12-10,61.646,61.646,60.966,54.849998,359200,49.239559
2014-12-11,61.412,61.456,60.888,54.82,275700,49.212627
2014-12-12,61.066,61.222,60.442,54.299999,247200,48.745815
2014-12-15,60.487,60.676,59.551,53.57,263200,48.090488
2014-12-16,59.54,60.309,59.496,53.48,232900,48.009689
2014-12-17,59.752,60.777,59.663,54.200001,188600,48.656048
2014-12-18,60.71,61.089,60.454,54.650002,269300,49.06002
2014-12-19,61.1,61.233,60.91,54.82,205200,49.212627
2014-12-22,58.513,58.665,58.317,53.880001,144600,49.595551
2014-12-23,58.426,58.578,58.165,53.650002,333000,49.383842
2014-12-24,58.382,58.513,58.176,53.779999,104200,49.503502
2014-12-26,58.86,59.197,58.763,54.290001,250400,49.972954
2014-12-29,58.828,58.86,58.556,53.990002,482400,49.696804
2014-12-30,58.545,58.589,58.317,53.889999,199200,49.604752
2014-12-31,58.469,58.708,58.133,53.52,183500,49.264175
2015-01-02,58.763,58.871,58.285,53.77,247500,49.494297
2015-01-05,58.382,58.415,57.85,53.369999,136500,49.126099
2015-01-06,58.165,58.187,57.383,53.130001,165600,48.90519
2015-01-07,58.502,58.665,58.143,53.950001,143400,49.659988
2015-01-08,58.274,59.013,58.274,54.220001,136000,49.90852
2015-01-09,59.067,59.099,58.611,54.23,258400,49.917721
2015-01-12,59.154,59.154,58.73,54.150002,199200,49.844078
2015-01-13,59.447,59.751,58.915,54.59,146100,50.249092
2015-01-14,59.382,59.48,58.98,54.720001,155600,50.368755
2015-01-15,59.958,60.023,59.512,54.869999,277000,50.506824
2015-01-16,59.838,60.457,59.784,55.630001,298000,51.206394
2015-01-20,60.24,60.24,59.762,55.209999,226100,50.819798
2015-01-21,60.273,60.457,60.153,55.610001,126300,51.187988
2015-01-22,60.295,60.783,60.023,55.849998,279400,51.408901
2015-01-23,60.914,60.968,60.707,55.880001,234900,51.436516
2015-01-26,60.816,61.088,60.653,56.139999,210900,51.675835
2015-01-27,60.631,60.794,60.457,55.880001,234200,51.436516
2015-01-28,60.968,60.99,60.066,55.389999,161400,50.985477
2015-01-29,60.534,60.718,60.218,55.869999,149200,51.427307
2015-01-30,60.077,60.186,59.643,54.939999,275900,50.571262
2015-02-02,60.381,60.827,60.175,55.900002,591300,51.454926
2015-02-03,60.707,61.185,60.599,56.259998,268900,51.786293
2015-02-04,60.903,61.164,60.61,55.82,726500,51.381283
2015-02-05,61.359,61.653,61.24,56.740002,227000,52.228127
2015-02-06,61.424,61.435,60.925,56.209999,222800,51.740269
2015-02-09,60.512,60.577,60.284,55.549999,327600,51.132759
2015-02-10,60.751,60.751,60.403,55.880001,150200,51.436516
2015-02-11,60.544,60.653,60.273,55.75,152600,51.316853
2015-02-12,60.838,61.12,60.718,56.240002,275900,51.767887
2015-02-13,61.653,61.75,61.359,56.810001,203500,52.292557
2015-02-17,61.609,61.761,61.403,56.740002,324700,52.228127
2015-02-18,61.718,61.946,61.522,56.939999,206700,52.41222
2015-02-19,61.587,61.826,61.457,56.740002,298400,52.228127
2015-02-20,61.544,62.044,61.381,57.009998,152500,52.476658
2015-02-23,61.859,61.87,61.653,56.889999,246100,52.366199
2015-02-24,61.87,62.174,61.718,57.16,209100,52.614727
2015-02-25,62.25,62.326,62.185,57.259998,302400,52.706776
2015-02-26,62.478,62.478,62.044,57.200001,470500,52.651554
