"Date","VSS.Open","VSS.High","VSS.Low","VSS.Close","VSS.Volume","VSS.Adjusted"
2013-07-11,103.006,104.176,102.961,93.470001,42600,83.891472
2013-07-12,103.73,103.83,103.24,92.940002,35000,83.415779
2013-07-15,104.12,104.499,103.819,93.739998,31200,84.133781
2013-07-16,104.086,104.644,103.953,93.879997,38300,84.259438
2013-07-17,104.8,105.067,104.421,93.970001,65500,84.34024
2013-07-18,104.956,105.268,104.822,94.260002,57500,84.600494
2013-07-19,104.855,105.256,104.71,94.410004,57400,84.73513
2013-07-22,105.613,106.036,105.368,95.029999,41700,85.291588
2013-07-23,106.382,106.649,105.958,95.559998,35800,85.767273
2013-07-24,106.593,106.593,105.479,95,50600,85.264671
2013-07-25,105.602,106.326,105.502,95.349998,19800,85.578796
2013-07-26,105.657,106.07,105.045,95.199997,36800,85.444168
2013-07-29,105.368,105.513,104.733,94.360001,43400,84.690254
2013-07-30,105.579,105.579,104.71,94.110001,25900,84.465897
2013-07-31,104.61,105.334,104.187,93.849998,26800,84.232506
2013-08-01,105.847,106.281,105.312,95.269997,87500,85.507004
2013-08-02,106.014,106.627,105.802,95.589996,40900,85.794205
2013-08-05,106.66,106.928,106.504,95.839996,30200,86.018593
2013-08-06,106.894,106.905,106.237,95.519997,39700,85.731377
2013-08-07,105.847,106.159,105.279,94.989998,24400,85.255707
2013-08-08,106.515,107.708,106.449,96.599998,52900,86.700722
2013-08-09,107.585,107.808,107.295,96.620003,36100,86.718658
2013-08-12,107.217,107.641,106.994,96.43,60800,86.548126
2013-08-13,107.652,107.808,107.039,96.599998,115100,86.700722
2013-08-14,107.585,107.986,107.418,96.760002,36400,86.844315
2013-08-15,106.805,107.05,105.992,95.989998,35900,86.153229
2013-08-16,107.407,107.719,107.139,96.160004,56700,86.305801
2013-08-19,107.418,107.418,106.337,95.440002,44300,85.659576
2013-08-20,106.036,106.493,105.847,95.209999,32700,85.453148
2013-08-21,105.646,105.802,104.911,94.309998,29100,84.645378
2013-08-22,105.735,106.081,105.602,95.050003,43400,85.309563
2013-08-23,105.992,106.694,105.847,95.760002,16300,85.946785
2013-08-26,106.437,106.616,105.847,95.129997,43000,85.381348
2013-08-27,104.61,105.078,103.73,93.120003,35000,83.577339
2013-08-28,103.552,104.209,103.206,93.059998,38200,83.523468
2013-08-29,104.354,104.532,103.986,93.449997,20600,83.873505
2013-08-30,103.63,104.075,103.262,92.910004,21000,83.388847
2013-09-03,105.735,105.847,104.71,94.25,85000,84.59153
2013-09-04,105.112,106.036,104.755,95.120003,27700,85.372375
2013-09-05,105.936,106.226,105.613,95.290001,32000,85.524948
2013-09-06,106.916,107.184,106.281,95.970001,53100,86.135269
2013-09-09,107.284,108.632,107.284,97.489998,64700,87.499496
2013-09-10,109.189,109.479,108.955,98.260002,60400,88.190605
2013-09-11,109.223,109.825,109.045,98.57,43700,88.468819
2013-09-12,109.401,109.568,108.822,97.709999,30800,87.69696
2013-09-13,109.234,109.568,108.967,98.339996,21400,88.262398
2013-09-16,110.37,110.916,110.214,99.040001,26000,88.890663
2013-09-17,110.304,110.538,110.114,99.059998,23900,88.908615
2013-09-18,110.092,113.29,109.858,101.68,59400,91.260117
2013-09-19,113.267,113.267,112.32,101,46800,90.649796
2013-09-20,112.454,112.499,111.24,99.839996,25400,89.608673
2013-09-23,110.389,110.544,109.734,99.400002,40200,89.550125
2013-09-24,110.355,110.91,110.167,99.529999,191800,89.667252
2013-09-25,110.367,110.91,110.222,99.730003,32600,89.84742
2013-09-26,110.855,111.099,110.378,99.93,28800,90.027588
2013-09-27,110.744,110.855,110.444,99.669998,107300,89.793365
2013-09-30,109.889,110.566,109.834,99.339996,57200,89.496071
2013-10-01,110.289,111.377,109.9,100.25,282300,90.315903
2013-10-02,111.033,111.51,110.722,100.459999,15900,90.505074
2013-10-03,111.41,111.654,110.444,99.800003,40200,89.910477
2013-10-04,110.777,111.343,110.777,100.230003,106400,90.297859
2013-10-07,110.078,110.566,109.356,99.339996,35800,89.496071
2013-10-08,110.367,110.411,109.057,98.279999,43100,88.5411
2013-10-09,109.678,109.9,108.968,98.870003,24900,89.072624
2013-10-10,110.833,111.699,110.222,100.599998,28900,90.63121
2013-10-11,111.366,111.943,111.11,100.809998,77400,90.820396
2013-10-14,111.01,112.476,111.01,101.18,70100,91.153725
2013-10-15,112.076,112.187,111.521,100.540001,46100,90.577156
2013-10-16,112.054,112.542,111.91,101.300003,38700,91.261833
2013-10-17,112.997,114.063,112.72,102.639999,60300,92.469048
