"Date","STIP.Open","STIP.High","STIP.Low","STIP.Close","STIP.Volume","STIP.Adjusted"
2016-06-21,102.472,102.483,102.341,100.989998,124700,99.657158
2016-06-22,102.412,102.472,102.31,101.099998,57600,99.765717
2016-06-23,102.513,102.523,102.401,101.139999,18100,99.805176
2016-06-24,102.787,102.807,102.604,101.279999,30800,99.943336
2016-06-27,102.685,102.939,102.584,101.269997,34400,99.933464
2016-06-28,102.675,102.756,102.614,101.379997,15200,100.042007
2016-06-29,102.766,102.807,102.705,101.389999,317700,100.051888
2016-06-30,102.776,102.918,102.776,101.519997,18500,100.180168
2016-07-01,103.009,103.07,102.756,101.639999,12800,100.298584
2016-07-05,103.141,103.141,103.03,101.720001,346400,100.377525
2016-07-06,103.111,103.182,103.03,101.739998,13900,100.39727
2016-07-07,103.151,103.151,103.02,101.720001,19200,100.377525
2016-07-08,103.03,103.06,102.999,101.68,27000,100.338051
2016-07-11,103.02,103.02,102.898,101.540001,15200,100.199905
2016-07-12,102.999,102.999,102.868,101.510002,13800,100.170311
2016-07-13,103.01,103.01,102.878,101.550003,17300,100.209763
2016-07-14,103.161,103.161,102.837,101.510002,17900,100.170311
2016-07-15,102.766,102.837,102.756,101.480003,20200,100.140701
2016-07-18,102.888,102.908,102.746,101.459999,21000,100.120956
2016-07-19,102.847,102.857,102.756,101.410004,13100,100.071625
2016-07-20,102.716,102.726,102.614,101.309998,22500,99.972939
2016-07-21,102.604,102.746,102.604,101.360001,183700,100.022278
2016-07-22,102.645,102.705,102.604,101.300003,15800,99.963074
2016-07-25,102.604,102.645,102.523,101.220001,19300,99.884132
2016-07-26,102.574,102.594,102.493,101.190002,17900,99.854523
2016-07-27,102.574,102.604,102.513,101.25,14900,99.913742
2016-07-28,102.604,102.665,102.553,101.279999,11400,99.943336
2016-07-29,102.736,102.776,102.665,101.419998,16700,100.081482
2016-08-01,102.529,102.529,101.59,100.809998,70200,99.847305
2016-08-02,101.721,101.782,101.6,100.68,87400,99.718552
2016-08-03,101.691,101.853,101.641,100.870003,15700,99.906738
2016-08-04,101.954,102.055,101.954,101.040001,19000,100.075104
2016-08-05,101.923,101.964,101.822,100.910004,16100,99.946342
2016-08-08,101.863,101.923,101.752,100.860001,37000,99.896828
2016-08-09,101.822,101.893,101.782,100.889999,19100,99.926544
2016-08-10,101.863,101.944,101.832,100.860001,21900,99.896828
2016-08-11,101.893,102.034,101.762,100.809998,23300,99.847305
2016-08-12,101.964,101.984,101.832,100.919998,18500,99.956253
2016-08-15,101.832,101.893,101.762,100.809998,33800,99.847305
2016-08-16,101.61,101.752,101.61,100.760002,17800,99.797783
2016-08-17,101.681,101.893,101.671,100.870003,17600,99.906738
2016-08-18,101.964,102.034,101.883,101.029999,50500,100.065201
2016-08-19,101.883,101.933,101.873,100.959999,14300,99.995872
2016-08-22,101.954,102.095,101.903,101,14400,100.035484
2016-08-23,101.954,102.014,101.903,101.029999,30900,100.065201
2016-08-24,102.065,102.075,101.923,100.959999,75200,99.995872
2016-08-25,101.923,102.014,101.903,100.940002,17500,99.976067
2016-08-26,101.984,102.065,101.671,100.709999,16400,99.748253
2016-08-29,101.762,101.802,101.711,100.82,15300,99.857208
2016-08-30,101.792,101.822,101.721,100.75,13600,99.787872
2016-08-31,101.661,101.802,101.641,100.699997,18900,99.738358
2016-09-01,101.167,101.177,100.895,100.330002,49200,99.708466
2016-09-02,101.026,101.026,100.925,100.349998,18400,99.72834
2016-09-06,101.016,101.207,100.996,100.57,52800,99.946976
2016-09-07,101.167,101.287,101.147,100.639999,33000,100.016548
2016-09-08,101.267,101.298,101.217,100.629997,18000,100.006607
2016-09-09,101.076,101.106,101.026,100.400002,22300,99.778038
2016-09-12,101.006,101.147,100.976,100.489998,17700,99.867477
2016-09-13,101.126,101.126,100.955,100.330002,15100,99.708466
2016-09-14,101.026,101.086,101.016,100.410004,9200,99.787971
2016-09-15,101.116,101.207,101.036,100.580002,19400,99.956924
2016-09-16,101.197,101.257,101.157,100.599998,31700,99.976799
2016-09-19,101.227,101.247,101.177,100.550003,25100,99.927116
2016-09-20,101.207,101.247,101.157,100.580002,16600,99.956924
2016-09-21,101.167,101.308,101.086,100.650002,31700,100.026482
2016-09-22,101.257,101.448,101.257,100.790001,14900,100.165627
2016-09-23,101.459,101.519,101.459,100.889999,21400,100.264992
2016-09-26,101.569,101.589,101.529,100.919998,28100,100.294815
2016-09-27,101.489,101.539,101.418,100.860001,46300,100.235184
2016-09-28,101.529,101.7,101.529,101.019997,29800,100.394188
2016-09-29,101.529,101.7,101.529,101,113600,100.374329
2016-09-30,101.64,101.74,101.64,101.099998,22700,100.473694
2016-10-03,101.72,101.73,101.62,101.019997,21300,100.394188
2016-10-04,101.67,101.67,101.509,100.879997,20000,100.255058
2016-10-05,101.549,101.549,101.438,100.849998,38000,100.225243
2016-10-06,101.489,101.559,101.489,100.879997,10600,100.255058
2016-10-07,101.579,101.599,101.469,100.959999,11400,100.334564
2016-10-10,101.64,101.64,101.539,100.910004,34900,100.284882
2016-10-11,101.509,101.579,101.509,100.919998,13500,100.294815
2016-10-12,101.509,101.569,101.459,100.910004,28800,100.284882
2016-10-13,101.479,101.62,101.448,100.970001,29300,100.344505
2016-10-14,101.559,101.66,101.539,101.019997,57700,100.394188
2016-10-17,101.72,101.791,101.69,101.089996,23000,100.463753
2016-10-18,101.72,101.801,101.72,101.169998,22800,100.543259
2016-10-19,101.72,101.871,101.71,101.220001,27000,100.592957
2016-10-20,101.861,101.861,101.75,101.160004,9600,100.533333
2016-10-21,101.801,101.811,101.73,101.139999,25000,100.513451
2016-10-24,101.801,101.801,101.67,101.089996,19100,100.463753
2016-10-25,101.69,101.73,101.66,101.059998,174700,100.433952
2016-10-26,101.65,101.71,101.65,101.059998,108000,100.433952
2016-10-27,101.65,101.67,101.63,101,43700,100.374329
2016-10-28,101.609,101.73,101.609,101.080002,90800,100.453827
2016-10-31,101.73,101.77,101.7,101.099998,96700,100.473694
2016-11-01,101.72,101.781,101.68,101.099998,82200,100.473694
2016-11-02,101.71,101.75,101.67,101.099998,365800,100.473694
2016-11-03,101.75,101.75,101.64,101.010002,79900,100.384247
2016-11-04,101.609,101.71,101.609,101.040001,148400,100.41407
2016-11-07,101.66,101.71,101.63,101.050003,38100,100.424011
2016-11-08,101.72,101.72,101.549,100.970001,22800,100.344505
2016-11-09,101.72,101.791,101.469,100.839996,183100,100.215309
2016-11-10,101.479,101.609,101.398,100.82,59000,100.195435
2016-11-11,101.529,101.529,101.328,100.769997,39900,100.145729
2016-11-14,101.277,101.277,101.086,100.480003,68300,99.857544
2016-11-15,101.499,101.499,101.126,100.529999,38200,99.907219
2016-11-16,101.026,101.187,100.986,100.559998,30700,99.937035
2016-11-17,101.217,101.287,101.096,100.519997,47000,99.897293
2016-11-18,101.177,101.197,101.046,100.43,64300,99.807854
2016-11-21,101.147,101.197,101.056,100.510002,137400,99.887352
2016-11-22,101.177,101.207,101.126,100.559998,32800,99.937035
2016-11-23,101.026,101.126,100.825,100.449997,64100,99.827713
2016-11-25,101.096,101.106,100.965,100.400002,24000,99.778038
2016-11-28,101.227,101.227,101.006,100.410004,100400,99.787971
2016-11-29,100.905,101.106,100.875,100.440002,113700,99.817787
2016-11-30,101.147,101.237,101.126,100.580002,78000,99.956924
2016-12-01,100.923,100.953,100.772,100.360001,66100,99.919373
2016-12-02,100.913,101.014,100.893,100.459999,35600,100.018929
2016-12-05,100.913,101.044,100.873,100.480003,68400,100.038841
2016-12-06,100.923,100.983,100.873,100.5,61100,100.058754
2016-12-07,101.024,101.054,100.953,100.57,31400,100.128448
2016-12-08,101.003,101.104,100.963,100.620003,43800,100.17823
2016-12-09,101.124,101.124,100.903,100.540001,93300,100.098572
2016-12-12,101.074,101.074,100.973,100.57,154500,100.128448
2016-12-13,101.024,101.034,100.923,100.519997,159300,100.078667
2016-12-14,101.024,101.034,100.602,100.190002,51300,99.750114
2016-12-15,100.441,100.511,100.411,100.010002,133400,99.570908
2016-12-16,100.471,100.501,100.33,100,64200,99.560951
2016-12-19,100.531,100.572,100.471,100.089996,60200,99.650558
2016-12-20,100.562,100.772,100.531,100.230003,58100,99.78994
2016-12-21,100.813,100.813,100.692,100.25,73900,99.809853
2016-12-22,100.692,100.843,100.642,100.360001,107800,99.919373
2016-12-23,100.863,100.933,100.772,100.379997,34700,99.939278
2016-12-27,100.923,100.923,100.782,100.400002,39400,99.959198
2016-12-28,100.873,100.993,100.803,100.540001,51400,100.098572
2016-12-29,100.983,101.074,100.983,100.559998,70400,100.118492
2016-12-30,101.003,101.234,101.003,100.720001,35300,100.277794
2017-01-03,101.154,101.194,101.084,100.699997,112400,100.257874
2017-01-04,101.134,101.214,101.044,100.769997,187200,100.327568
2017-01-05,101.245,101.335,101.184,100.870003,102100,100.427132
2017-01-06,101.214,101.234,101.164,100.739998,82900,100.297699
2017-01-09,101.184,101.245,101.134,100.769997,64500,100.327568
2017-01-10,101.917,101.917,101.214,100.779999,106800,100.337524
2017-01-11,101.325,101.435,101.255,100.839996,61400,100.397263
2017-01-12,101.455,101.476,101.365,100.959999,339200,100.516739
2017-01-13,101.325,101.385,101.255,100.889999,45700,100.447044
2017-01-17,101.335,101.747,101.335,101.050003,133900,100.606339
2017-01-18,101.465,101.486,101.275,100.839996,120200,100.397263
2017-01-19,101.164,101.305,101.164,100.839996,182800,100.397263
2017-01-20,101.325,101.727,101.285,100.959999,111200,100.516739
2017-01-23,101.415,101.506,101.385,101.050003,58500,100.606339
2017-01-24,101.465,101.486,101.415,100.989998,62900,100.5466
2017-01-25,101.566,101.566,101.295,100.910004,110400,100.466957
2017-01-26,101.325,101.465,101.315,100.970001,201700,100.526688
2017-01-27,101.526,101.556,101.476,101.089996,50300,100.646164
2017-01-30,101.546,101.596,101.506,101.120003,131900,100.676041
2017-01-31,101.616,101.686,101.606,101.220001,95300,100.775589
2017-02-01,101.606,101.727,101.516,101.220001,63400,100.775589
2017-02-02,101.747,101.757,101.666,101.230003,55000,100.785553
2017-02-03,101.777,101.847,101.616,101.25,85300,100.805458
2017-02-06,101.787,101.797,101.696,101.300003,67300,100.855247
2017-02-07,101.737,101.747,101.606,101.220001,57800,100.775589
2017-02-08,101.656,101.737,101.576,101.190002,59300,100.745728
2017-02-09,101.636,101.636,101.556,101.120003,58200,100.676041
2017-02-10,101.596,101.626,101.496,101.129997,44100,100.685982
2017-02-13,101.526,101.546,101.455,101.019997,58600,100.576469
2017-02-14,101.445,101.526,101.315,100.900002,75700,100.457001
2017-02-15,101.345,101.465,101.325,100.970001,125000,100.526688
2017-02-16,101.526,101.596,101.476,101.120003,67900,100.676041
2017-02-17,101.646,101.646,101.566,101.18,60500,100.735771
2017-02-21,101.636,101.676,101.606,101.199997,72400,100.755684
2017-02-22,101.666,101.727,101.526,101.279999,49900,100.835327
2017-02-23,101.817,101.837,101.727,101.360001,45700,100.914986
2017-02-24,101.877,101.938,101.827,101.480003,56000,101.034447
2017-02-27,102.038,102.038,101.727,101.300003,126200,100.855247
2017-02-28,101.757,101.797,101.707,101.279999,50400,100.835327
2017-03-01,101.516,101.586,101.445,101.089996,62100,100.646164
2017-03-02,101.516,101.616,101.375,100.93,82400,100.486862
2017-03-03,101.465,101.626,101.365,101.18,102900,100.735771
2017-03-06,101.626,101.626,101.546,101.120003,54300,100.676041
2017-03-07,101.576,101.606,101.496,101.120003,387200,100.676041
2017-03-08,101.606,101.606,101.375,100.959999,167500,100.516739
2017-03-09,101.345,101.375,101.234,100.830002,144700,100.387314
2017-03-10,101.345,101.385,101.234,100.830002,291100,100.387314
2017-03-13,101.245,101.285,101.164,100.760002,134000,100.317619
2017-03-14,101.184,101.194,101.144,100.699997,256100,100.257874
2017-03-15,101.255,101.576,101.194,101.120003,136200,100.676041
2017-03-16,101.576,101.576,101.465,101.050003,164500,100.606339
2017-03-17,101.586,101.636,101.556,101.150002,49900,100.70591
2017-03-20,101.646,101.646,101.556,101.190002,53100,100.745728
2017-03-21,101.656,101.737,101.636,101.220001,68500,100.775589
2017-03-22,101.727,101.737,101.586,101.260002,210700,100.815422
2017-03-23,101.727,101.727,101.626,101.25,98400,100.805458
2017-03-24,101.696,101.827,101.666,101.269997,135900,100.825378
2017-03-27,101.827,101.847,101.757,101.330002,99200,100.885117
