"Date","VMBS.Open","VMBS.High","VMBS.Low","VMBS.Close","VMBS.Volume","VMBS.Adjusted"
2013-06-25,54.89,54.89,54.673,50.669998,133900,46.820717
2013-06-26,54.879,54.976,54.76,50.77,89300,46.913136
2013-06-27,55.041,55.301,55.041,51.099998,800300,47.218052
2013-06-28,55.146,55.265,55.092,51.040001,687500,47.183857
2013-07-01,55.276,55.352,55.222,51.130001,423200,47.267056
2013-07-02,55.298,55.428,55.276,51.220001,257400,47.350254
2013-07-03,55.341,55.428,55.287,51.130001,294200,47.267056
2013-07-05,54.681,54.811,54.53,50.52,399500,46.70314
2013-07-08,54.67,54.898,54.67,50.68,280500,46.851044
2013-07-09,54.865,55.103,54.865,50.849998,267900,47.008221
2013-07-10,54.962,54.984,54.703,50.57,102500,46.749363
2013-07-11,54.93,55.081,54.865,50.84,98000,46.998959
2013-07-12,55.06,55.179,54.919,50.82,202900,46.980473
2013-07-15,55.017,55.2,55.017,50.939999,518500,47.091408
2013-07-16,55.233,55.233,55.081,51,365900,47.14687
2013-07-17,55.276,55.406,55.222,51.130001,296100,47.267056
2013-07-18,55.244,55.341,55.125,50.990002,268600,47.13763
2013-07-19,55.19,55.449,55.19,51.25,185700,47.377975
2013-07-22,55.341,55.471,55.341,51.220001,270200,47.350254
2013-07-23,55.428,55.46,55.319,51.169998,198300,47.304028
2013-07-24,55.168,55.287,55.136,51.080002,191700,47.220825
2013-07-25,55.081,55.341,55.071,51.150002,11000,47.285534
2013-07-26,55.341,55.406,55.341,51.209999,134300,47.34103
2013-07-29,55.276,55.33,55.233,51.099998,152100,47.239311
2013-07-30,55.287,55.363,55.179,51.040001,106500,47.183857
2013-07-31,54.978,55.226,54.805,51.080002,103200,47.254158
2013-08-01,55.118,55.118,54.935,50.84,75900,47.032135
2013-08-02,55.14,55.345,55.14,51.150002,108600,47.318924
2013-08-05,55.291,55.335,55.194,51.09,61000,47.263401
2013-08-06,55.291,55.324,55.151,51.09,64800,47.263401
2013-08-07,55.259,55.367,55.248,51.150002,58700,47.318924
2013-08-08,55.453,55.453,55.345,51.200001,35500,47.365173
2013-08-09,55.378,55.432,55.28,51.209999,65300,47.37442
2013-08-12,55.41,55.518,55.335,51.220001,34300,47.383671
2013-08-13,55.162,55.226,55.064,50.959999,32300,47.143154
2013-08-14,55.097,55.183,55.086,51,19900,47.180145
2013-08-15,54.967,55.075,54.891,50.84,23200,47.032135
2013-08-16,54.989,54.999,54.697,50.639999,84900,46.847118
2013-08-19,54.708,54.762,54.556,50.490002,37700,46.708347
2013-08-20,54.697,54.794,54.697,50.669998,44000,46.874859
2013-08-21,54.708,54.794,54.545,50.459999,23300,46.680588
2013-08-22,54.632,54.826,54.513,50.48,34400,46.699108
2013-08-23,54.599,54.87,54.589,50.68,42300,46.884113
2013-08-26,54.978,55.032,54.891,50.869999,34100,47.059895
2013-08-27,55.021,55.107,54.935,50.959999,44700,47.143154
2013-08-28,54.935,55.021,54.859,50.799999,55900,46.995136
2013-08-29,54.805,55.043,54.772,50.880001,19500,47.069141
2013-08-30,54.885,54.939,54.831,50.790001,65200,47.028389
2013-09-03,54.712,54.744,54.572,50.66,32000,46.908024
2013-09-04,54.723,54.809,54.593,50.560001,25500,46.815437
2013-09-05,54.528,54.528,54.323,50.310001,74800,46.583942
2013-09-06,54.572,54.647,54.496,50.52,71500,46.778385
2013-09-09,54.788,54.788,54.701,50.650002,101400,46.898773
2013-09-10,54.701,54.723,54.593,50.549999,25700,46.806168
2013-09-11,54.658,54.777,54.647,50.720001,43000,46.963577
2013-09-12,54.766,54.863,54.669,50.700001,47300,46.945061
2013-09-13,54.723,54.852,54.701,50.759998,39200,47.000622
2013-09-16,55.068,55.155,54.863,50.82,93000,47.056168
2013-09-17,54.896,54.982,54.842,50.849998,50400,47.083958
2013-09-18,54.852,55.49,54.788,51.299999,101500,47.500626
2013-09-19,55.317,55.392,55.187,51.16,33100,47.370987
2013-09-20,55.23,55.338,55.198,51.189999,85800,47.398769
2013-09-23,55.306,55.403,55.209,51.299999,57500,47.500626
2013-09-24,55.5,55.544,55.403,51.380001,40200,47.574699
2013-09-25,55.479,55.684,55.479,51.549999,80100,47.732109
2013-09-26,55.554,55.641,55.511,51.439999,32700,47.630249
2013-09-27,55.544,55.706,55.533,51.529999,69000,47.713593
2013-09-30,55.487,55.573,55.411,51.450001,23500,47.697849
2013-10-01,55.433,55.487,55.4,51.43,45000,47.679283
2013-10-02,55.519,55.616,55.519,51.48,43600,47.725639
2013-10-03,55.616,55.713,55.519,51.509998,25900,47.753452
2013-10-04,55.584,55.584,55.443,51.419998,47800,47.670025
2013-10-07,55.616,55.691,55.508,51.470001,38600,47.716396
2013-10-08,55.551,55.594,55.487,51.5,45100,47.744179
2013-10-09,55.497,55.573,55.422,51.419998,69900,47.670025
2013-10-10,55.433,55.476,55.303,51.43,22900,47.679283
2013-10-11,55.605,55.616,55.433,51.400002,32000,47.651474
2013-10-14,55.422,55.487,55.206,51.189999,32800,47.456791
2013-10-15,55.389,55.443,55.314,51.310001,83100,47.568043
2013-10-16,55.4,55.551,55.303,51.459999,170200,47.707096
2013-10-17,55.627,55.767,55.627,51.68,127200,47.911053
2013-10-18,55.735,55.789,55.691,51.639999,113800,47.873989
2013-10-21,55.799,55.799,55.659,51.610001,73700,47.846176
2013-10-22,55.853,55.94,55.832,51.810001,33600,48.031567
2013-10-23,55.929,55.961,55.832,51.82,45900,48.04084
2013-10-24,55.853,55.929,55.821,51.77,31800,47.994488
