"Date","VTEB.Open","VTEB.High","VTEB.Low","VTEB.Close","VTEB.Volume","VTEB.Adjusted"
2016-01-19,52.044,52.146,52.044,51.209999,79200,50.340012
2016-01-20,52.278,52.309,52.197,51.369999,102600,50.497295
2016-01-21,52.319,52.319,52.156,51.32,35400,50.448132
2016-01-22,52.146,52.207,52.146,51.279999,142200,50.408821
2016-01-25,52.207,52.207,52.105,51.220001,64500,50.349846
2016-01-26,52.095,52.126,52.065,51.240002,73600,50.369503
2016-01-27,52.095,52.105,52.065,51.18,28000,50.31052
2016-01-28,52.136,52.136,52.085,51.220001,68300,50.349846
2016-01-29,52.217,52.217,52.136,51.25,61700,50.379333
2016-02-01,52.08,52.08,52.039,51.240002,65900,50.43346
2016-02-02,52.192,52.192,52.131,51.360001,87600,50.551579
2016-02-03,52.212,52.212,52.151,51.349998,76800,50.541737
2016-02-04,52.181,52.222,52.131,51.349998,74700,50.541737
2016-02-05,52.273,52.313,52.181,51.459999,54200,50.650002
2016-02-08,52.252,52.354,52.242,51.490002,78500,50.679535
2016-02-09,52.435,52.435,52.303,51.509998,97000,50.699219
2016-02-10,52.334,52.395,52.303,51.560001,197200,50.748428
2016-02-11,52.567,52.578,52.415,51.599998,63600,50.787796
2016-02-12,52.385,52.506,52.303,51.540001,73600,50.728748
2016-02-16,52.476,52.476,52.313,51.509998,73300,50.699219
2016-02-17,52.232,52.293,52.181,51.439999,45500,50.630314
2016-02-18,52.242,52.354,52.242,51.470001,90300,50.659847
2016-02-19,52.283,52.334,52.242,51.459999,113400,50.650002
2016-02-22,52.293,52.303,52.212,51.389999,45600,50.581108
2016-02-23,52.161,52.252,52.141,51.380001,85000,50.571259
2016-02-24,52.273,52.324,52.141,51.380001,43300,50.571259
2016-02-25,52.303,52.303,52.181,51.43,84500,50.620472
2016-02-26,52.141,52.141,52.08,51.27,36300,50.462997
2016-02-29,52.161,52.202,52.141,51.34,195200,50.531887
2016-03-01,52.192,52.192,51.988,51.220001,72500,50.41378
2016-03-02,52.059,52.059,51.917,51.110001,49500,50.305511
2016-03-03,51.927,52.029,51.836,51.119999,175200,50.31535
2016-03-04,51.958,51.958,51.877,51.07,79000,50.266136
2016-03-07,51.897,51.897,51.816,51.049999,79900,50.246452
2016-03-08,51.917,51.968,51.887,51.119999,39400,50.31535
2016-03-09,51.856,51.907,51.836,51.040001,118600,50.236618
2016-03-10,51.897,51.907,51.816,51.09,43200,50.285824
2016-03-11,51.958,51.958,51.826,51.09,84300,50.285824
2016-03-14,52.019,52.019,51.927,51.139999,61600,50.335045
2016-03-15,51.978,51.978,51.917,51.099998,66100,50.295666
2016-03-16,51.978,51.978,51.877,51.110001,45200,50.305511
2016-03-17,52.039,52.039,51.968,51.150002,32800,50.344879
2016-03-18,51.968,52.08,51.968,51.25,36600,50.443306
2016-03-21,52.07,52.09,52.029,51.220001,72100,50.41378
2016-03-22,52.1,52.131,52.019,51.23,75200,50.423622
2016-03-23,52.11,52.131,52.039,51.25,83500,50.443306
2016-03-24,52.1,52.192,52.039,51.25,66100,50.443306
2016-03-28,52.12,52.151,52.019,51.279999,81100,50.472832
2016-03-29,52.141,52.202,52.1,51.349998,66300,50.541737
2016-03-30,52.141,52.151,52.08,51.279999,79000,50.472832
2016-03-31,52.242,52.313,52.222,51.450001,48300,50.64016
2016-04-01,52.252,52.273,52.192,51.419998,59300,50.61063
2016-04-04,52.293,52.293,52.252,51.439999,130300,50.630314
2016-04-05,52.405,52.415,52.334,51.549999,50200,50.738579
2016-04-06,52.425,52.425,52.344,51.529999,54600,50.718903
2016-04-07,52.506,52.527,52.456,51.66,162600,50.846859
2016-04-08,52.496,52.496,52.446,51.669998,40500,50.856693
2016-04-11,52.517,52.517,52.496,51.68,38100,50.866543
2016-04-12,52.506,52.76,52.476,51.68,64300,50.866543
2016-04-13,52.618,52.618,52.486,51.669998,116100,50.856693
2016-04-14,52.547,52.547,52.435,51.639999,76300,50.827168
2016-04-15,52.557,52.598,52.496,51.75,128100,50.935432
2016-04-18,52.567,52.618,52.547,51.720001,88900,50.90591
2016-04-19,52.598,52.598,52.517,51.700001,42400,50.88623
2016-04-20,52.618,52.649,52.456,51.650002,47900,50.837013
2016-04-21,52.517,52.517,52.395,51.610001,43200,50.797642
2016-04-22,52.567,52.567,52.466,51.709999,73300,50.896061
2016-04-25,52.537,52.557,52.527,51.700001,78500,50.88623
2016-04-26,52.547,52.547,52.476,51.669998,92500,50.856693
2016-04-27,52.506,52.547,52.506,51.700001,88700,50.88623
2016-04-28,52.74,52.74,52.506,51.779999,89300,50.964966
2016-04-29,52.578,52.689,52.527,51.830002,87000,51.014183
2016-05-02,52.628,52.628,52.527,51.709999,101300,50.896061
2016-05-03,52.73,52.73,52.628,51.84,94600,51.024029
2016-05-04,52.628,52.679,52.608,51.849998,88800,51.033863
2016-05-05,52.71,52.71,52.608,51.860001,41600,51.043709
2016-05-06,52.76,52.76,52.679,51.889999,82400,51.073235
2016-05-09,52.75,52.771,52.679,51.849998,97300,51.033863
2016-05-10,52.74,52.76,52.649,51.84,77500,51.024029
2016-05-11,52.791,52.811,52.679,51.98,147900,51.161816
2016-05-12,52.781,52.801,52.76,51.939999,65500,51.12244
2016-05-13,52.832,52.893,52.801,52.029999,77000,51.211029
2016-05-16,52.801,52.821,52.781,51.950001,77500,51.132286
2016-05-17,52.872,52.903,52.781,52.049999,67400,51.230717
2016-05-18,52.893,52.893,52.669,51.93,136700,51.112602
2016-05-19,52.73,52.811,52.73,51.93,45900,51.112602
2016-05-20,52.771,52.771,52.74,51.93,68200,51.112602
2016-05-23,52.73,52.73,52.679,51.880001,45800,51.063385
2016-05-24,52.689,52.689,52.639,51.810001,55100,50.994499
2016-05-25,52.639,52.699,52.639,51.84,70600,51.024029
2016-05-26,52.7,52.75,52.679,51.880001,42900,51.063385
2016-05-27,52.689,52.72,52.628,51.810001,76500,50.994499
2016-05-31,52.639,52.72,52.618,51.880001,69000,51.063385
2016-06-01,52.688,52.688,52.546,51.790001,46900,51.024963
2016-06-02,52.658,52.688,52.617,51.900002,104500,51.13335
2016-06-03,52.648,52.82,52.648,52,112000,51.231861
2016-06-06,52.709,52.769,52.587,51.93,99700,51.162903
2016-06-07,52.78,52.78,52.709,52,71000,51.231861
2016-06-08,52.709,52.83,52.709,52,44700,51.231861
2016-06-09,52.891,52.962,52.841,52.169998,81300,51.399353
2016-06-10,52.973,53.064,52.962,52.25,97000,51.478168
2016-06-13,52.942,53.033,52.942,52.209999,66700,51.438763
2016-06-14,53.084,53.115,53.023,52.330002,41700,51.556992
2016-06-15,53.125,53.206,53.064,52.389999,30800,51.6161
2016-06-16,53.196,53.277,53.186,52.459999,125900,51.685074
2016-06-17,53.247,53.247,53.186,52.419998,40000,51.645657
2016-06-20,53.074,53.145,53.064,52.34,46700,51.566845
2016-06-21,53.186,53.226,53.094,52.349998,92400,51.576694
2016-06-22,53.165,53.165,53.064,52.279999,149900,51.507732
2016-06-23,52.983,52.983,52.891,52.130001,62200,51.359947
2016-06-24,53.389,53.541,53.307,52.75,153000,51.970787
2016-06-27,53.571,53.581,53.51,52.77,89700,51.990498
2016-06-28,53.551,53.561,53.5,52.77,68600,51.990498
2016-06-29,53.49,53.561,53.409,52.639999,96200,51.862411
2016-06-30,53.48,53.51,53.419,52.700001,111000,51.92152
2016-07-01,53.422,53.463,53.382,52.68,75100,51.967892
2016-07-05,53.483,53.605,53.402,52.880001,124800,52.165188
2016-07-06,53.605,53.605,53.493,52.810001,56700,52.096134
2016-07-07,53.412,53.493,53.382,52.77,89000,52.056675
2016-07-08,53.402,53.513,53.392,52.779999,65200,52.066536
2016-07-11,53.483,53.493,53.382,52.66,91100,51.948162
2016-07-12,53.371,53.382,53.25,52.580002,153800,51.869244
2016-07-13,53.361,53.371,53.29,52.599998,94800,51.888973
2016-07-14,53.209,53.23,53.148,52.509998,85200,51.80019
2016-07-15,53.108,53.159,53.098,52.43,123100,51.721268
2016-07-18,53.179,53.24,53.138,52.43,76900,51.721268
2016-07-19,53.138,53.148,53.108,52.43,103900,51.721268
2016-07-20,53.138,53.138,53.098,52.400002,59700,51.691673
2016-07-21,53.037,53.118,53.017,52.369999,86500,51.662083
2016-07-22,53.047,53.138,53.017,52.360001,87800,51.652214
2016-07-25,53.108,53.128,53.077,52.380001,45000,51.671947
2016-07-26,53.169,53.169,53.088,52.41,43100,51.701542
2016-07-27,53.169,53.26,53.148,52.5,99000,51.790321
2016-07-28,53.199,53.27,53.138,52.540001,83800,51.829781
2016-07-29,53.29,53.371,53.25,52.650002,45800,51.938297
2016-08-01,53.064,53.134,53.003,52.439999,45900,51.79409
2016-08-02,52.983,53.074,52.972,52.380001,124600,51.734833
2016-08-03,53.094,53.094,53.003,52.43,79000,51.784222
2016-08-04,53.124,53.276,53.114,52.52,91800,51.873112
2016-08-05,53.033,53.033,52.972,52.330002,98300,51.685459
2016-08-08,53.003,53.134,53.003,52.439999,158100,51.79409
2016-08-09,53.145,53.175,53.114,52.490002,188600,51.843483
2016-08-10,53.185,53.215,53.134,52.5,83200,51.853352
2016-08-11,53.175,53.226,53.064,52.419998,98800,51.774338
2016-08-12,53.296,53.296,53.175,52.540001,59800,51.892864
2016-08-15,53.205,53.215,53.155,52.5,75200,51.853352
2016-08-16,53.296,53.296,53.165,52.509998,104000,51.863235
2016-08-17,53.236,53.276,53.155,52.599998,60700,51.952122
2016-08-18,53.307,53.337,53.256,52.650002,174800,52.001511
2016-08-19,53.236,53.256,53.205,52.560001,84700,51.912617
2016-08-22,53.337,53.347,53.296,52.650002,86100,52.001511
2016-08-23,53.307,53.327,53.276,52.619999,80800,51.971878
2016-08-24,53.327,53.327,53.256,52.599998,76800,51.952122
2016-08-25,53.296,53.307,53.256,52.630001,57000,51.981754
2016-08-26,53.307,53.347,53.195,52.560001,108100,51.912617
2016-08-29,53.317,53.357,53.256,52.689999,43300,52.041012
2016-08-30,53.327,53.327,53.276,52.619999,48000,51.971878
2016-08-31,53.276,53.276,53.226,52.599998,63600,51.952122
2016-09-01,53.05,53.161,52.979,52.419998,135800,51.857159
2016-09-02,53.06,53.06,52.989,52.470001,43900,51.90662
2016-09-06,53.07,53.141,53.039,52.540001,116900,51.975868
2016-09-07,53.05,53.05,53.019,52.459999,79300,51.896729
2016-09-08,53.029,53.05,52.908,52.389999,97600,51.827477
2016-09-09,52.989,52.989,52.817,52.299999,169300,51.738449
2016-09-12,52.959,52.959,52.868,52.310001,240100,51.748344
2016-09-13,52.908,52.908,52.736,52.18,90500,51.619736
2016-09-14,52.767,52.858,52.756,52.240002,200300,51.679089
2016-09-15,52.746,52.767,52.696,52.169998,102900,51.609837
2016-09-16,52.797,52.797,52.736,52.200001,53600,51.639523
2016-09-19,52.756,52.767,52.736,52.169998,40800,51.609837
2016-09-20,52.756,52.777,52.716,52.16,74800,51.599949
2016-09-21,52.736,52.777,52.696,52.209999,92700,51.64941
2016-09-22,52.807,52.979,52.797,52.240002,80200,51.679089
2016-09-23,52.797,52.959,52.777,52.25,118000,51.688976
2016-09-26,52.858,52.908,52.827,52.330002,60900,51.768127
2016-09-27,52.928,52.938,52.888,52.369999,62800,51.807693
2016-09-28,52.918,52.928,52.868,52.330002,123700,51.768127
2016-09-29,52.878,52.949,52.868,52.32,139100,51.758236
2016-09-30,52.868,52.898,52.736,52.200001,138200,51.639523
2016-10-03,52.767,52.827,52.706,52.150002,50000,51.590057
2016-10-04,52.746,52.797,52.574,52.029999,329100,51.471344
2016-10-05,52.645,52.696,52.484,51.950001,134000,51.392204
2016-10-06,52.514,52.514,52.423,51.889999,150200,51.332844
2016-10-07,52.494,52.494,52.423,51.919998,37300,51.362518
2016-10-10,52.413,52.453,52.362,51.869999,91300,51.313061
2016-10-11,52.484,52.484,52.362,51.799999,142600,51.243816
2016-10-12,52.362,52.362,52.302,51.759998,109200,51.204243
2016-10-13,52.332,52.342,52.281,51.759998,75800,51.204243
2016-10-14,52.231,52.312,52.231,51.669998,76100,51.115208
2016-10-17,52.221,52.312,52.221,51.740002,91400,51.184456
2016-10-18,52.221,52.271,52.19,51.66,139900,51.105316
2016-10-19,52.16,52.241,52.16,51.66,71800,51.105316
2016-10-20,52.291,52.332,52.221,51.720001,34200,51.164673
2016-10-21,52.362,52.393,52.291,51.75,90500,51.194355
2016-10-24,52.322,52.322,52.16,51.630001,108000,51.075642
2016-10-25,52.241,52.312,52.19,51.720001,146500,51.164673
2016-10-26,52.261,52.261,52.18,51.66,84700,51.105316
2016-10-27,52.221,52.221,52.069,51.560001,67600,51.006393
2016-10-28,52.16,52.221,52.11,51.66,81000,51.105316
2016-10-31,52.261,52.302,52.221,51.720001,54800,51.164673
2016-11-01,52.066,52.117,52.016,51.580002,75900,51.088406
2016-11-02,52.177,52.197,52.147,51.68,144800,51.18745
2016-11-03,52.097,52.208,52.097,51.669998,187300,51.177544
2016-11-04,52.248,52.258,52.197,51.75,92400,51.25679
2016-11-07,52.097,52.187,52.086,51.619999,85700,51.128025
2016-11-08,52.218,52.258,52.137,51.68,85100,51.18745
2016-11-09,51.965,51.965,51.652,51.209999,334200,50.721935
2016-11-10,51.844,51.844,51.188,50.84,499400,50.355465
2016-11-11,51.39,51.44,51.289,50.849998,109400,50.36536
2016-11-14,51.006,51.057,50.501,50.16,797000,49.681938
2016-11-15,50.794,50.935,50.794,50.419998,195900,49.939457
2016-11-16,50.865,50.885,50.774,50.369999,281300,49.889942
2016-11-17,50.774,50.895,50.734,50.310001,185100,49.830513
2016-11-18,50.744,50.875,50.744,50.310001,127500,49.830513
2016-11-21,50.804,50.925,50.744,50.32,196100,49.840412
2016-11-22,50.824,50.824,50.643,50.25,234700,49.771088
2016-11-23,50.622,50.703,50.532,50.07,269900,49.592796
2016-11-25,50.572,50.643,50.532,50.060001,52200,49.582893
2016-11-28,50.602,50.602,50.481,50.02,161200,49.543278
2016-11-29,50.491,50.491,50.299,49.82,356000,49.345177
2016-11-30,50.198,50.198,50.128,49.689999,349900,49.216419
2016-12-01,50.037,50.037,49.865,49.450001,609400,48.97871
2016-12-02,49.795,51.39,49.795,49.639999,632800,49.166901
2016-12-05,50.017,50.178,49.976,49.599998,236300,49.127277
2016-12-06,50.35,50.431,50.229,49.950001,287800,49.473942
2016-12-07,50.633,50.925,50.552,50.290001,320000,49.810699
2016-12-08,50.653,50.764,50.633,50.18,188900,49.701744
2016-12-09,50.693,50.713,50.612,50.189999,230500,49.711651
2016-12-12,50.703,50.713,50.582,50.150002,444400,49.672039
2016-12-13,50.643,50.643,50.532,50.080002,298500,49.602703
2016-12-14,50.653,50.683,50.481,50.02,320600,49.543278
2016-12-15,50.633,50.633,50.38,49.900002,379400,49.424419
2016-12-16,50.39,50.471,50.309,49.860001,512800,49.3848
2016-12-19,50.4,50.552,50.37,50.009998,545600,49.533371
2016-12-20,50.41,50.592,50.38,49.959999,421900,49.483849
2016-12-21,50.542,50.572,50.431,50.029999,401900,49.553177
2016-12-22,50.332,50.513,50.302,50.07,534500,49.670238
2016-12-23,50.554,50.554,50.412,50.09,273000,49.690079
2016-12-27,50.382,50.544,50.382,50.119999,695900,49.719833
2016-12-28,50.453,50.654,50.433,50.23,305400,49.828953
2016-12-29,50.594,50.654,50.564,50.23,254300,49.828953
2016-12-30,50.634,50.705,50.604,50.259998,317300,49.858719
2017-01-03,50.574,50.665,50.554,50.150002,199700,49.749596
2017-01-04,50.604,50.806,50.604,50.299999,251000,49.898403
2017-01-05,50.816,50.876,50.755,50.470001,365000,50.067043
2017-01-06,50.796,50.826,50.755,50.41,172000,50.007523
2017-01-09,50.866,50.947,50.816,50.459999,212200,50.057117
2017-01-10,50.917,50.947,50.876,50.48,251600,50.076962
2017-01-11,50.987,51.037,50.937,50.59,2185300,50.186089
2017-01-12,51.037,51.118,51.037,50.700001,252300,50.295208
2017-01-13,51.118,51.169,51.058,50.759998,530700,50.354729
2017-01-17,51.179,51.209,51.169,50.779999,119600,50.374569
2017-01-18,51.098,51.118,51.048,50.669998,154600,50.265446
2017-01-19,51.037,51.048,50.775,50.43,117400,50.027359
2017-01-20,50.826,50.826,50.705,50.369999,193800,49.967842
2017-01-23,50.765,50.906,50.765,50.41,251700,50.007523
2017-01-24,50.836,50.836,50.735,50.349998,339700,49.948002
2017-01-25,50.816,50.816,50.685,50.279999,259000,49.878563
2017-01-26,50.765,50.765,50.665,50.279999,200200,49.878563
2017-01-27,50.785,50.785,50.685,50.360001,142000,49.957924
2017-01-30,50.745,50.765,50.604,50.23,286400,49.828953
2017-01-31,50.695,50.826,50.695,50.380001,110300,49.977764
2017-02-01,50.531,50.601,50.46,50.240002,227700,49.911201
2017-02-02,50.631,50.692,50.571,50.27,95100,49.941006
2017-02-03,50.692,50.742,50.581,50.299999,262700,49.97081
2017-02-06,50.742,50.772,50.702,50.439999,280600,50.10989
2017-02-07,50.672,50.742,50.672,50.34,271600,50.010551
2017-02-08,50.802,50.833,50.742,50.439999,270500,50.10989
2017-02-09,50.843,50.843,50.692,50.389999,128000,50.060219
2017-02-10,50.752,50.752,50.672,50.389999,134300,50.060219
2017-02-13,50.712,50.883,50.672,50.470001,566200,50.139698
2017-02-14,50.752,50.782,50.631,50.310001,214700,49.980743
2017-02-15,50.641,50.672,50.531,50.209999,159500,49.88139
2017-02-16,50.631,50.651,50.551,50.240002,195300,49.911201
2017-02-17,50.722,50.732,50.631,50.400002,207900,50.07016
2017-02-21,50.702,50.752,50.692,50.389999,139300,50.060219
2017-02-22,50.813,50.823,50.722,50.450001,167800,50.119827
2017-02-23,50.853,50.883,50.742,50.52,124600,50.189365
2017-02-24,50.913,50.964,50.873,50.610001,315700,50.278778
2017-02-27,50.943,50.953,50.873,50.560001,106000,50.229107
2017-02-28,50.953,50.964,50.913,50.610001,218900,50.278778
2017-03-01,50.659,50.84,50.568,50.349998,169300,50.102646
2017-03-02,50.589,50.589,50.508,50.299999,275200,50.052891
2017-03-03,50.558,50.558,50.458,50.23,143900,49.983238
2017-03-06,50.458,50.498,50.458,50.23,95000,49.983238
2017-03-07,50.478,50.518,50.428,50.23,179400,49.983238
2017-03-08,50.367,50.498,50.347,50.18,575300,49.933487
2017-03-09,50.367,50.468,50.307,50.099998,471500,49.85387
2017-03-10,50.438,50.438,50.317,50.130001,131800,49.883724
2017-03-13,50.347,50.377,50.327,50.080002,110800,49.833973
2017-03-14,50.398,50.398,50.347,50.110001,212700,49.863823
2017-03-15,50.388,50.498,50.337,50.18,156300,49.933487
2017-03-16,50.508,50.528,50.468,50.25,381600,50.003139
2017-03-17,50.518,50.528,50.488,50.27,178600,50.023041
2017-03-20,50.518,50.568,50.488,50.290001,347600,50.042946
2017-03-21,50.589,50.659,50.548,50.389999,175200,50.142452
2017-03-22,50.679,50.86,50.679,50.490002,326100,50.241959
2017-03-23,50.749,50.779,50.729,50.5,129300,50.251911
2017-03-24,50.759,50.89,50.759,50.549999,109900,50.301662
2017-03-27,50.87,50.93,50.84,50.610001,169800,50.36137
2017-03-28,50.88,50.91,50.83,50.619999,113800,50.371319
2017-03-29,50.96,51.001,50.93,50.700001,139000,50.450928
2017-03-30,50.94,50.94,50.85,50.650002,163600,50.401176
2017-03-31,50.9,50.92,50.86,50.639999,145000,50.39122
2017-04-03,50.772,50.873,50.722,50.66,2531800,50.487892
2017-04-04,50.803,50.853,50.742,50.619999,342300,50.448025
2017-04-05,50.803,50.873,50.783,50.689999,306600,50.517792
2017-04-06,50.883,50.893,50.873,50.709999,160000,50.537724
2017-04-07,50.943,50.963,50.873,50.720001,239700,50.547688
2017-04-10,50.963,50.983,50.903,50.790001,361500,50.617451
2017-04-11,51.013,51.074,50.973,50.869999,157400,50.697178
2017-04-12,51.033,51.094,51.023,50.900002,288700,50.727077
2017-04-13,51.114,51.134,51.094,50.939999,118500,50.766937
2017-04-17,51.114,51.144,51.094,50.93,156200,50.756977
2017-04-18,51.164,51.274,51.164,51.060001,259600,50.886536
2017-04-19,51.254,51.264,51.214,51.07,170500,50.8965
