"Date","IQDF.Open","IQDF.High","IQDF.Low","IQDF.Close","IQDF.Volume","IQDF.Adjusted"
2016-01-07,21.677,21.677,21.402,20.200001,169600,19.046978
2016-01-08,21.741,21.741,21.168,20.02,229900,18.877251
2016-01-11,21.486,21.486,21.083,20.030001,112600,18.886681
2016-01-12,21.465,21.529,21.2,20.139999,50600,18.9904
2016-01-13,21.688,21.688,21.009,19.85,163000,18.716953
2016-01-14,21.253,21.444,21.221,20.15,31000,18.99983
2016-01-15,20.914,20.914,20.447,19.43,42000,18.320929
2016-01-19,20.967,20.977,20.67,19.65,60000,18.52837
2016-01-20,20.606,20.606,20.002,19.23,180200,18.132341
2016-01-21,20.437,20.627,20.182,19.32,120300,18.217205
2016-01-22,21.02,21.147,20.967,19.940001,54500,18.801819
2016-01-25,21.094,21.094,20.871,19.68,81500,18.55666
2016-01-26,21.073,21.349,21.062,20.129999,302200,18.98097
2016-01-27,21.412,21.529,21.115,19.959999,452900,18.820673
2016-01-28,21.529,21.539,21.243,20.209999,180000,19.056406
2016-01-29,21.603,21.879,21.603,20.629999,129600,19.452431
2016-02-01,21.677,21.847,21.614,20.540001,139500,19.367571
2016-02-02,21.455,21.476,21.179,20.01,191100,18.867821
2016-02-03,21.433,21.539,21.02,20.309999,123900,19.150696
2016-02-04,21.614,21.783,21.582,20.4,37100,19.235559
2016-02-05,21.624,21.646,21.359,20.219999,25700,19.065832
2016-02-08,21.115,21.115,20.787,19.799999,414600,18.669806
2016-02-09,20.702,20.797,20.511,19.48,95300,18.368074
2016-02-10,20.829,20.935,20.638,19.49,240200,18.377502
2016-02-11,20.415,20.468,20.182,19.209999,109600,18.113483
2016-02-12,20.553,20.755,20.437,19.559999,67200,18.443508
2016-02-16,21.19,21.243,21.03,20.030001,62900,18.886681
2016-02-17,21.38,21.624,21.38,20.370001,41500,19.207273
2016-02-18,21.709,21.709,21.508,20.299999,228800,19.141266
2016-02-19,21.455,21.55,21.338,20.299999,37000,19.141266
2016-02-22,21.783,21.868,21.783,20.620001,49300,19.443003
2016-02-23,21.667,21.73,21.444,20.24,138800,19.084692
2016-02-24,21.094,21.412,20.977,20.190001,410100,19.037546
2016-02-25,21.455,21.656,21.402,20.4,53400,19.235559
2016-02-26,21.699,21.741,21.486,20.290001,147700,19.131842
2016-02-29,21.539,21.73,21.539,20.370001,52800,19.207273
2016-03-01,21.868,22.176,21.847,20.889999,51300,19.69759
2016-03-02,22.155,22.324,22.07,21.049999,51200,19.848457
2016-03-03,22.367,22.611,22.356,21.309999,63000,20.093615
2016-03-04,22.727,22.95,22.727,21.57,89800,20.338776
2016-03-07,22.632,22.908,22.632,21.549999,61300,20.319918
2016-03-08,22.727,22.727,22.558,21.299999,52800,20.084187
2016-03-09,22.664,22.791,22.653,21.4,30300,20.178478
2016-03-10,22.802,22.95,22.452,21.379999,72700,20.15962
2016-03-11,23.014,23.247,23.014,21.889999,316800,20.640507
2016-03-14,23.162,23.258,23.109,21.82,97000,20.574507
2016-03-15,22.855,22.929,22.791,21.6,76600,20.367064
2016-03-16,22.855,23.247,22.812,21.92,145900,20.668798
2016-03-17,23.321,23.565,23.247,22.18,421800,20.91396
2016-03-18,23.544,23.597,23.491,22.18,56300,20.91396
2016-03-21,23.295,23.38,23.253,22.09,58000,20.918692
2016-03-22,23.095,23.295,23.063,22,50000,20.833464
2016-03-23,23.084,23.084,22.873,21.700001,55200,20.549374
2016-03-24,22.609,22.767,22.545,21.540001,68700,20.397856
2016-03-28,22.862,23.422,22.831,21.68,78800,20.530432
2016-03-29,22.725,23.158,22.683,21.93,71800,20.767176
2016-03-30,23.38,23.506,23.348,22.200001,34600,21.02286
2016-03-31,23.39,23.422,23.264,22.08,75500,20.909222
2016-04-01,22.978,23.105,22.841,21.870001,46400,20.710361
2016-04-04,23.137,23.147,23.01,21.83,59200,20.672478
2016-04-05,22.63,22.651,22.535,21.389999,128800,20.255808
2016-04-06,22.598,22.862,22.577,21.65,54200,20.50202
2016-04-07,22.63,22.63,22.408,21.32,102800,20.189518
2016-04-08,22.905,22.989,22.873,21.690001,40800,20.5399
2016-04-11,23.147,23.242,23.084,21.870001,508400,20.710361
2016-04-12,23.274,23.538,23.179,22.209999,46600,21.032328
2016-04-13,23.749,23.802,23.654,22.52,499300,21.32589
