"Date","VYM.Open","VYM.High","VYM.Low","VYM.Close","VYM.Volume","VYM.Adjusted"
2011-12-27,53.703,53.94,53.668,45.450001,732500,38.380489
2011-12-28,53.845,53.869,53.194,44.950001,624000,37.958252
2011-12-29,53.443,53.869,53.312,45.459999,714400,38.38892
2011-12-30,53.786,53.869,53.585,45.259998,435300,38.220036
2012-01-03,54.343,54.414,54.059,45.68,1015000,38.574696
2012-01-04,54.07,54.141,53.822,45.68,605200,38.574696
2012-01-05,53.916,54.153,53.561,45.68,546100,38.574696
2012-01-06,54.212,54.236,53.774,45.580002,735800,38.49025
2012-01-09,54.094,54.094,53.774,45.630001,682000,38.532475
2012-01-10,54.58,54.58,54.319,45.93,443800,38.785816
2012-01-11,54.26,54.39,54.094,45.900002,491800,38.76049
2012-01-12,54.52,54.52,54.141,45.98,482700,38.828049
2012-01-13,54.189,54.331,53.786,45.880001,555600,38.743595
2012-01-17,54.698,54.769,54.272,45.93,864200,38.785816
2012-01-18,54.402,54.793,54.284,46.240002,622300,39.047596
2012-01-19,54.781,54.923,54.615,46.369999,728900,39.157372
2012-01-20,54.959,55.172,54.84,46.59,468300,39.343163
2012-01-23,55.16,55.302,54.887,46.509998,741700,39.2756
2012-01-24,54.864,54.923,54.686,46.380001,380800,39.165833
2012-01-25,54.805,55.385,54.556,46.66,728600,39.402267
2012-01-26,55.562,55.574,54.947,46.540001,716100,39.300934
2012-01-27,54.935,54.982,54.651,46.32,428000,39.115154
2012-01-30,54.449,54.651,54.177,46.150002,434300,38.971592
2012-01-31,54.899,54.911,54.307,46.060001,1184200,38.895599
2012-02-01,54.923,55.243,54.923,46.43,619500,39.208038
2012-02-02,55.065,55.16,54.887,46.450001,488900,39.224937
2012-02-03,55.432,55.598,55.361,46.93,695200,39.630276
2012-02-06,55.361,55.551,55.314,46.900002,521200,39.604935
2012-02-07,55.409,55.764,55.243,47.02,434400,39.706284
2012-02-08,55.752,55.787,55.444,47.080002,500700,39.756943
2012-02-09,55.823,55.859,55.503,47.060001,516400,39.740055
2012-02-10,55.397,55.432,55.148,46.740002,548900,39.46983
2012-02-13,55.728,55.74,55.48,47.02,414800,39.706284
2012-02-14,55.598,55.622,55.231,46.970001,468700,39.664047
2012-02-15,55.776,55.776,55.231,46.75,493500,39.478271
2012-02-16,55.349,56.001,55.349,47.25,559000,39.900513
2012-02-17,56.131,56.202,56.012,47.43,404100,40.052505
2012-02-21,56.32,56.332,56.012,47.419998,676700,40.044052
2012-02-22,56.107,56.143,55.847,47.25,383500,39.900513
2012-02-23,55.953,56.166,55.764,47.400002,361000,40.027164
2012-02-24,56.261,56.344,56.131,47.48,408100,40.094727
2012-02-27,55.977,56.427,55.847,47.540001,348300,40.145397
2012-02-28,56.356,56.462,56.178,47.66,420600,40.246727
2012-02-29,56.534,56.628,56.143,47.509998,427100,40.120056
2012-03-01,56.273,56.557,56.261,47.669998,358100,40.255173
2012-03-02,56.427,56.474,56.214,47.59,355000,40.187614
2012-03-05,56.285,56.38,56.036,47.560001,333400,40.162281
2012-03-06,55.859,55.93,55.527,46.98,417900,39.672493
2012-03-07,55.858,56.012,55.598,47.25,323000,39.900513
2012-03-08,56.178,56.391,56.095,47.529999,477100,40.136948
2012-03-09,56.415,56.569,56.297,47.68,311300,40.263607
2012-03-12,56.51,56.699,56.462,47.860001,389100,40.415615
2012-03-13,56.948,57.505,56.806,48.560001,420000,41.006733
2012-03-14,57.481,57.552,57.197,48.419998,433700,40.888496
2012-03-15,57.351,57.599,57.232,48.630001,352800,41.065849
2012-03-16,57.694,57.718,57.469,48.59,922400,41.032059
2012-03-19,57.469,57.777,57.445,48.669998,470700,41.099625
2012-03-20,57.339,57.552,57.208,48.540001,446900,40.989845
2012-03-21,57.528,57.528,57.268,48.459999,352600,40.922279
2012-03-22,57.09,57.149,56.912,48.209999,782900,40.711174
2012-03-23,57.102,57.256,56.853,48.34,252800,40.820953
2012-03-26,56.832,57.161,56.797,48.599998,378400,41.320885
2012-03-27,57.267,57.279,57.02,48.490002,455200,41.227371
2012-03-28,57.032,57.032,56.456,48.27,297400,41.040318
2012-03-29,56.373,56.762,56.162,48.220001,1248700,40.997799
2012-03-30,57.044,57.091,56.773,48.470001,492500,41.210365
2012-04-02,56.985,57.467,56.914,48.75,454200,41.448421
2012-04-03,57.244,57.279,56.667,48.490002,506400,41.227371
2012-04-04,56.75,56.75,56.467,48.150002,2033200,40.938286
2012-04-05,56.444,56.62,56.315,48.029999,361700,40.836262
2012-04-09,55.915,56.079,55.762,47.529999,491600,40.41114
2012-04-10,55.797,55.821,54.986,46.779999,828700,39.773479
2012-04-11,55.444,55.574,55.291,47.099998,376800,40.045547
2012-04-12,55.468,55.973,55.397,47.57,306700,40.445148
2012-04-13,55.856,55.856,55.421,47.139999,331400,40.079559
2012-04-16,55.668,55.903,55.479,47.369999,267200,40.275116
2012-04-17,56.044,56.491,55.938,47.98,294800,40.793743
