"Date","PSK.Open","PSK.High","PSK.Low","PSK.Close","PSK.Volume","PSK.Adjusted"
2012-09-17,63.891,63.891,63.63,46.419998,38300,33.850174
2012-09-18,63.699,63.726,63.52,46.459999,30400,33.879356
2012-09-19,63.74,63.74,63.603,46.450001,60700,33.872055
2012-09-20,63.699,63.699,63.561,46.419998,39200,33.850174
2012-09-21,61.639,61.639,61.328,45.48,249600,33.727085
2012-09-24,61.463,61.477,61.126,45.330002,331200,33.615856
2012-09-25,61.315,61.409,61.194,45.509998,50500,33.749321
2012-09-26,61.409,61.463,61.275,45.549999,38600,33.778996
2012-09-27,61.49,61.585,61.382,45.580002,114200,33.801243
2012-09-28,61.571,61.571,61.45,45.610001,85000,33.823486
2012-10-01,61.773,61.773,61.463,45.689999,62100,33.882816
2012-10-02,61.652,61.652,61.49,45.700001,45900,33.890221
2012-10-03,61.517,61.72,61.517,45.689999,50300,33.882816
2012-10-04,61.693,61.693,61.531,45.75,34000,33.927311
2012-10-05,61.733,61.854,61.706,45.869999,41200,34.016289
2012-10-08,61.787,61.895,61.706,45.84,21500,33.994057
2012-10-09,61.868,61.868,61.652,45.799999,39500,33.964394
2012-10-10,61.814,61.827,61.652,45.830002,19500,33.986637
2012-10-11,61.72,62.003,61.72,45.970001,35600,34.090462
2012-10-12,61.922,62.03,61.854,45.990002,42400,34.105286
2012-10-15,62.111,62.111,61.895,45.959999,30300,34.083031
2012-10-16,62.084,62.084,61.962,46.009998,45500,34.120117
2012-10-17,62.084,62.084,62.016,46.009998,19500,34.120117
2012-10-18,62.084,62.191,62.016,46.040001,27000,34.142368
2012-10-19,62.111,62.151,61.962,46.029999,32300,34.134945
2012-10-22,62.003,62.097,61.908,46.009998,81800,34.120117
2012-10-23,62.003,62.03,61.706,45.93,65700,34.060791
2012-10-24,61.827,61.989,61.787,45.830002,65100,33.986637
2012-10-25,61.706,62.03,61.706,45.84,67000,33.994057
2012-10-26,61.895,61.895,61.693,45.869999,105300,34.016289
2012-10-31,61.854,62.65,61.693,45.91,63300,34.045967
2012-11-01,61.976,62.165,61.908,46.099998,30300,34.186855
2012-11-02,62.367,62.367,62.043,46.099998,111500,34.186855
2012-11-05,62.205,62.205,62.124,46.099998,83900,34.186855
2012-11-06,62.232,62.232,61.989,45.970001,40600,34.090462
2012-11-07,62.043,62.057,61.854,45.939999,42400,34.068203
2012-11-08,61.962,62.03,61.773,45.810001,30900,33.971802
2012-11-09,61.693,61.827,61.612,45.82,56500,33.979221
2012-11-12,61.868,61.868,61.72,45.880001,24100,34.02372
2012-11-13,61.854,61.868,61.733,45.860001,123800,34.008881
2012-11-14,61.881,61.908,61.032,45.259998,93100,33.563934
2012-11-15,61.328,61.328,60.573,45.049999,62500,33.408192
2012-11-16,60.816,61.382,60.816,45.52,56400,33.756741
2012-11-19,61.409,61.639,60.304,45.630001,92400,33.838318
2012-11-20,61.382,61.76,61.382,45.779999,43300,33.949551
2012-11-21,62.111,62.111,61.72,45.830002,22700,33.986637
2012-11-23,62.03,62.03,61.787,45.93,12200,34.060791
2012-11-26,62.003,62.003,61.693,45.830002,86400,33.986637
2012-11-27,62.097,62.097,61.827,45.889999,35200,34.031124
2012-11-28,61.935,61.935,61.76,45.82,52400,33.979221
2012-11-29,61.922,61.949,61.827,45.849998,70800,34.001465
2012-11-30,61.922,61.935,61.841,45.889999,68800,34.031124
2012-12-03,61.949,61.949,61.598,45.73,62000,33.912479
2012-12-04,62.03,62.03,61.612,45.77,66700,33.942142
2012-12-05,61.787,61.787,61.612,45.740002,68800,33.91988
2012-12-06,61.787,61.787,61.625,45.810001,52800,33.971802
2012-12-07,61.922,61.922,61.652,45.77,44200,33.942142
2012-12-10,61.625,61.746,61.625,45.73,62000,33.912479
2012-12-11,61.854,61.854,61.666,45.77,54000,33.942142
2012-12-12,61.841,61.841,61.625,45.77,53300,33.942142
2012-12-13,61.881,61.881,61.571,45.68,51300,33.875393
2012-12-14,61.666,61.666,61.49,45.669998,56700,33.867977
2012-12-17,61.558,61.76,61.531,45.689999,72700,33.882816
2012-12-18,61.693,61.693,61.477,45.669998,61700,33.867977
2012-12-19,61.679,61.733,61.531,45.720001,117800,33.905064
2012-12-20,61.706,61.827,61.558,45.700001,46100,33.890221
2012-12-21,60.208,60.208,59.136,44.740002,61400,33.810871
2012-12-24,59.215,59.228,59.136,44.75,24700,33.818428
2012-12-26,59.215,59.228,59.122,44.709999,211700,33.7882
2012-12-27,59.07,59.268,59.003,44.740002,87300,33.810871
2012-12-28,59.149,59.678,59.083,45.099998,90500,34.082932
2012-12-31,59.334,59.519,59.268,44.98,135700,33.992252
2013-01-02,59.453,59.877,59.387,45.009998,106600,34.014919
2013-01-03,59.625,59.758,59.586,45.119999,64000,34.098049
2013-01-04,59.784,59.903,59.652,45.259998,104200,34.203846
2013-01-07,59.93,59.93,59.811,45.27,194100,34.211411
2013-01-08,59.93,60.075,59.89,45.400002,58000,34.309654
2013-01-09,60.128,60.155,60.036,45.450001,89500,34.347431
2013-01-10,60.194,60.208,60.128,45.48,50600,34.370106
2013-01-11,60.075,60.274,60.075,45.48,108400,34.370106
2013-01-14,60.194,60.208,60.141,45.490002,62000,34.377666
2013-01-15,60.141,60.194,60.049,45.470001,273000,34.362553
2013-01-16,60.234,60.274,60.141,45.470001,125100,34.362553
2013-01-17,60.208,60.3,60.155,45.57,90400,34.438126
2013-01-18,60.34,60.472,60.34,45.700001,79200,34.536362
2013-01-22,60.393,60.605,60.366,45.700001,92600,34.536362
2013-01-23,60.485,60.499,60.366,45.669998,69800,34.513695
2013-01-24,60.432,60.446,60.313,45.599998,87900,34.4608
2013-01-25,60.366,60.366,60.247,45.599998,55900,34.4608
2013-01-28,60.34,60.34,60.208,45.509998,109500,34.392784
2013-01-29,60.221,60.287,60.115,45.470001,107200,34.362553
2013-01-30,60.194,60.234,60.075,45.400002,57100,34.309654
2013-01-31,60.088,60.128,60.036,45.380001,34300,34.294533
2013-02-01,60.088,60.181,60.036,45.459999,56200,34.354996
2013-02-04,60.022,60.247,60.009,45.389999,95800,34.302094
2013-02-05,60.115,60.181,60.022,45.41,51500,34.317215
2013-02-06,59.956,60.168,59.956,45.41,56100,34.317215
2013-02-07,60.022,60.128,60.022,45.43,59400,34.332321
2013-02-08,60.181,60.26,60.115,45.48,79600,34.370106
2013-02-11,60.247,60.287,60.155,45.490002,41400,34.377666
2013-02-12,60.247,60.247,60.194,45.529999,70200,34.407894
2013-02-13,60.313,60.353,60.208,45.549999,45000,34.423008
