"Date","SCHH.Open","SCHH.High","SCHH.Low","SCHH.Close","SCHH.Volume","SCHH.Adjusted"
2015-07-30,39.869,40.015,39.682,38.189999,179300,36.629421
2015-07-31,40.099,40.453,39.942,38.490002,334600,36.91716
2015-08-03,40.088,40.39,40.057,38.68,717400,37.0994
2015-08-04,40.338,40.557,39.994,38.459999,262700,36.888386
2015-08-05,40.224,40.276,39.723,38.25,291300,36.686974
2015-08-06,39.921,40.005,39.317,38.34,405500,36.773293
2015-08-07,39.953,40.203,39.65,38.52,197200,36.945938
2015-08-10,40.286,40.37,39.869,38.389999,190900,36.821251
2015-08-11,39.89,40.484,39.89,38.68,260000,37.0994
2015-08-12,40.161,40.463,39.963,38.790001,295600,37.20491
2015-08-13,40.391,40.693,40.036,38.880001,173600,37.291225
2015-08-14,40.474,40.755,40.245,39.07,170000,37.473465
2015-08-17,40.735,41.12,40.599,39.439999,239100,37.828346
2015-08-18,40.995,41.235,40.985,39.540001,251000,37.924263
2015-08-19,41.037,41.141,40.724,39.279999,295600,37.674885
2015-08-20,40.703,40.943,40.536,39.029999,394300,37.435101
2015-08-21,40.432,40.62,39.911,38.279999,218500,36.715748
2015-08-24,39.119,39.337,31.278,36.470001,661600,34.979706
2015-08-25,38.608,38.868,36.939,35.450001,345900,34.001392
2015-08-26,37.513,38.065,37.179,36.41,723200,34.922161
2015-08-27,38.326,39.014,38.055,37.150002,400900,35.631924
2015-08-28,38.722,38.754,38.399,37.060001,258600,35.545605
2015-08-31,38.649,38.649,37.763,36.220001,210500,34.739925
2015-09-01,37.252,37.565,36.752,35.5,567000,34.049347
2015-09-02,37.284,37.523,37.065,35.880001,289100,34.413822
2015-09-03,37.555,37.774,37.45,35.990002,262800,34.519325
2015-09-04,37.242,37.242,36.512,35.259998,198900,33.819153
2015-09-08,37.085,37.409,36.971,35.790001,293900,34.327496
2015-09-09,37.513,37.763,36.794,35.349998,330500,33.905479
2015-09-10,36.794,37.336,36.794,35.41,221000,33.96302
2015-09-11,36.939,37.68,36.898,36.139999,282200,34.663193
2015-09-14,37.742,37.805,37.544,36.150002,144300,34.672787
2015-09-15,37.732,38.159,37.45,36.5,193400,35.008488
2015-09-16,38.097,38.587,38.065,36.93,237600,35.420914
2015-09-17,38.535,39.567,38.337,37.310001,231200,35.785389
2015-09-18,38.535,39.337,38.472,37.259998,302000,35.737423
2015-09-21,38.428,38.915,38.428,37.360001,157700,36.049095
2015-09-22,38.459,38.605,38.149,36.880001,140200,35.585938
2015-09-23,38.314,38.687,38.18,37.150002,113600,35.846466
2015-09-24,38.439,38.605,37.91,36.810001,131900,35.518394
2015-09-25,38.283,38.656,38.076,37.029999,289900,35.730671
2015-09-28,38.231,38.231,37.506,36.439999,539500,35.161373
2015-09-29,37.848,38.397,37.755,36.93,196500,35.634182
2015-09-30,38.542,38.646,38.252,37.189999,288100,35.885056
2015-10-01,38.625,38.822,38.377,37.41,975200,36.097336
2015-10-02,38.801,39.102,38.377,37.720001,298000,36.396458
2015-10-05,39.226,39.786,39.195,38.360001,310200,37.014008
2015-10-06,39.734,39.962,39.568,38.279999,279500,36.93681
2015-10-07,39.765,40.128,39.662,38.720001,511400,37.361378
2015-10-08,40.066,40.501,39.931,39.049999,398200,37.679794
2015-10-09,40.47,40.47,40.18,38.990002,215300,37.621902
2015-10-12,40.48,40.802,40.346,39.25,239300,37.872776
2015-10-13,40.563,40.698,40.252,38.919998,188300,37.554348
2015-10-14,40.397,40.46,39.931,38.59,179300,37.235931
2015-10-15,40.128,40.584,40.076,39.139999,114200,37.766632
2015-10-16,40.605,40.957,40.605,39.450001,191900,38.065754
2015-10-19,40.812,41.496,40.812,40.02,429400,38.615757
2015-10-20,41.434,41.569,41.278,40.029999,176100,38.625404
2015-10-21,41.517,41.672,41.268,39.860001,309500,38.461372
2015-10-22,41.382,41.755,41.382,40.220001,239500,38.808746
2015-10-23,41.703,41.703,40.957,39.75,241000,38.355232
2015-10-26,41.216,41.268,40.864,39.75,406200,38.355232
2015-10-27,41.102,41.278,41.03,39.82,146200,38.422775
2015-10-28,41.258,41.537,40.522,39.790001,168200,38.393829
2015-10-29,41.081,41.278,40.926,39.790001,479900,38.393829
2015-10-30,41.237,41.299,40.771,39.369999,668300,37.988564
2015-11-02,40.812,41.672,40.739,40.209999,651100,38.799084
2015-11-03,41.537,41.537,41.061,39.75,322800,38.355232
2015-11-04,41.216,41.268,40.916,39.580002,224300,38.191196
2015-11-05,41.03,41.195,40.833,39.720001,153700,38.326283
2015-11-06,40.594,40.657,39.641,38.52,406500,37.168388
2015-11-09,39.745,39.796,38.978,37.860001,472000,36.531548
2015-11-10,39.257,39.786,39.257,38.279999,207000,36.93681
2015-11-11,39.755,39.931,39.599,38.369999,124000,37.023655
2015-11-12,39.641,39.838,39.434,38.150002,604100,36.811378
2015-11-13,39.517,39.724,39.05,37.700001,992300,36.377159
2015-11-16,38.988,39.475,38.926,38.060001,220700,36.724533
2015-11-17,39.423,39.848,39.34,38.119999,729200,36.782425
2015-11-18,39.568,39.9,39.299,38.459999,302000,37.110497
2015-11-19,39.952,40.232,39.859,38.650002,167200,37.293831
2015-11-20,40.149,40.532,40.149,39.09,346500,37.718391
2015-11-23,40.511,40.729,40.449,39.139999,178000,37.766632
2015-11-24,40.397,40.439,40.024,38.919998,217600,37.554348
2015-11-25,40.377,40.646,40.377,39.130001,191400,37.756989
2015-11-27,40.48,41.019,40.47,39.470001,91700,38.085056
2015-11-30,40.967,41.133,40.449,39.139999,226900,37.766632
2015-12-01,40.688,41.164,40.688,39.689999,350900,38.29734
2015-12-02,41.04,41.113,40.242,38.880001,266300,37.515755
2015-12-03,40.232,40.232,39.558,38.27,663500,36.927158
2015-12-04,39.776,40.543,39.776,39.060001,195300,37.689442
2015-12-07,40.439,40.501,40.211,38.939999,181200,37.57365
2015-12-08,40.232,40.501,40.118,38.950001,207900,37.583305
2015-12-09,40.232,40.532,39.91,38.709999,190900,37.351723
2015-12-10,40.128,40.273,39.765,38.400002,167900,37.052601
2015-12-11,39.568,39.962,39.496,38.41,208000,37.062252
2015-12-14,39.724,40.024,39.506,38.59,356300,37.235931
2015-12-15,40.169,40.688,40.169,39.049999,184400,37.679794
2015-12-16,40.615,41.32,40.574,39.77,281300,38.374527
2015-12-17,41.258,41.258,40.916,39.610001,204100,38.220142
2015-12-18,40.947,41.009,40.532,39.130001,226800,37.756989
2015-12-21,40.045,40.22,39.748,38.919998,261300,37.894264
2015-12-22,40.045,40.395,39.963,39.040001,315200,38.011108
2015-12-23,40.189,40.549,40.189,39.459999,231000,38.420036
2015-12-24,40.528,40.692,40.343,39.48,146000,38.439507
2015-12-28,40.415,40.785,40.364,39.709999,205100,38.663448
2015-12-29,40.895,41.244,40.895,40.119999,402200,39.075432
2015-12-30,41.131,41.305,41.028,39.959999,291200,38.919601
2015-12-31,41.018,41.121,40.689,39.639999,233400,38.607933
2016-01-04,40.381,40.381,39.847,39.130001,1270300,38.11121
2016-01-05,40.186,41.069,40.176,39.889999,420400,38.851421
2016-01-06,40.628,40.915,40.566,39.73,348400,38.695587
2016-01-07,40.309,40.494,40.032,39.029999,267000,38.013813
2016-01-08,40.197,40.32,39.437,38.439999,399700,37.439175
2016-01-11,39.56,39.94,39.56,38.68,328800,37.672928
2016-01-12,39.96,39.96,39.273,38.419998,332200,37.419693
2016-01-13,39.581,39.919,38.913,37.950001,278600,36.961933
2016-01-14,38.913,39.201,38.605,37.810001,364700,36.825584
2016-01-15,38.348,38.677,38.081,37.599998,395100,36.62104
2016-01-19,38.821,39.118,38.636,37.84,901700,36.854797
2016-01-20,38.472,38.502,36.973,36.709999,652400,35.754215
2016-01-21,37.876,38.42,37.63,36.950001,697600,35.987968
2016-01-22,38.359,39.098,38.338,37.919998,398800,36.932713
2016-01-25,38.831,39.283,38.574,37.66,346300,36.679485
2016-01-26,38.81,39.509,38.81,38.459999,893700,37.458656
2016-01-27,NA,NA,NA,0,NA,0
2016-01-28,NA,NA,NA,0,NA,0
2016-01-29,NA,NA,NA,0,NA,0
2016-02-01,NA,NA,NA,0,NA,0
2016-02-02,NA,NA,NA,0,NA,0
2016-02-03,NA,NA,NA,0,NA,0
2016-02-04,NA,NA,NA,0,NA,0
2016-02-05,NA,NA,NA,0,NA,0
2016-02-08,NA,NA,NA,0,NA,0
2016-02-09,NA,NA,NA,0,NA,0
2016-02-10,NA,NA,NA,0,NA,0
2016-02-11,NA,NA,NA,0,NA,0
2016-02-12,NA,NA,NA,0,NA,0
2016-02-16,NA,NA,NA,0,NA,0
2016-02-17,NA,NA,NA,0,NA,0
2016-02-18,NA,NA,NA,0,NA,0
2016-02-19,NA,NA,NA,0,NA,0
2016-02-22,NA,NA,NA,0,NA,0
2016-02-23,NA,NA,NA,0,NA,0
2016-02-24,NA,NA,NA,0,NA,0
2016-02-25,NA,NA,NA,0,NA,0
2016-02-26,NA,NA,NA,0,NA,0
2016-02-29,NA,NA,NA,0,NA,0
2016-03-01,NA,NA,NA,0,NA,0
2016-03-02,NA,NA,NA,0,NA,0
2016-03-03,NA,NA,NA,0,NA,0
2016-03-04,NA,NA,NA,0,NA,0
2016-03-07,NA,NA,NA,0,NA,0
2016-03-08,NA,NA,NA,0,NA,0
2016-03-09,NA,NA,NA,0,NA,0
2016-03-10,NA,NA,NA,0,NA,0
2016-03-11,NA,NA,NA,0,NA,0
2016-03-14,NA,NA,NA,0,NA,0
2016-03-15,NA,NA,NA,0,NA,0
2016-03-16,NA,NA,NA,0,NA,0
2016-03-17,NA,NA,NA,0,NA,0
2016-03-18,NA,NA,NA,0,NA,0
2016-03-21,NA,NA,NA,0,NA,0
2016-03-22,NA,NA,NA,0,NA,0
2016-03-23,NA,NA,NA,0,NA,0
2016-03-24,NA,NA,NA,0,NA,0
2016-03-28,NA,NA,NA,0,NA,0
2016-03-29,NA,NA,NA,0,NA,0
2016-03-30,NA,NA,NA,0,NA,0
2016-03-31,NA,NA,NA,0,NA,0
2016-04-01,NA,NA,NA,0,NA,0
2016-04-04,NA,NA,NA,0,NA,0
2016-04-05,NA,NA,NA,0,NA,0
2016-04-06,NA,NA,NA,0,NA,0
2016-04-07,NA,NA,NA,0,NA,0
2016-04-08,NA,NA,NA,0,NA,0
2016-04-11,NA,NA,NA,0,NA,0
2016-04-12,NA,NA,NA,0,NA,0
2016-04-13,NA,NA,NA,0,NA,0
2016-04-14,NA,NA,NA,0,NA,0
2016-04-15,NA,NA,NA,0,NA,0
2016-04-18,NA,NA,NA,0,NA,0
2016-04-19,NA,NA,NA,0,NA,0
2016-04-20,NA,NA,NA,0,NA,0
2016-04-21,NA,NA,NA,0,NA,0
2016-04-22,NA,NA,NA,0,NA,0
2016-04-25,NA,NA,NA,0,NA,0
2016-04-26,NA,NA,NA,0,NA,0
2016-04-27,NA,NA,NA,0,NA,0
2016-04-28,NA,NA,NA,0,NA,0
2016-04-29,NA,NA,NA,0,NA,0
2016-05-02,NA,NA,NA,0,NA,0
2016-05-03,NA,NA,NA,0,NA,0
2016-05-04,NA,NA,NA,0,NA,0
2016-05-05,NA,NA,NA,0,NA,0
2016-05-06,NA,NA,NA,0,NA,0
2016-05-09,NA,NA,NA,0,NA,0
2016-05-10,NA,NA,NA,0,NA,0
2016-05-11,NA,NA,NA,0,NA,0
2016-05-12,NA,NA,NA,0,NA,0
2016-05-13,NA,NA,NA,0,NA,0
2016-05-16,NA,NA,NA,0,NA,0
2016-05-17,NA,NA,NA,0,NA,0
2016-05-18,NA,NA,NA,0,NA,0
2016-05-19,NA,NA,NA,0,NA,0
2016-05-20,NA,NA,NA,0,NA,0
2016-05-23,NA,NA,NA,0,NA,0
2016-05-24,NA,NA,NA,0,NA,0
2016-05-25,NA,NA,NA,0,NA,0
2016-05-26,NA,NA,NA,0,NA,0
2016-05-27,NA,NA,NA,0,NA,0
2016-05-31,NA,NA,NA,0,NA,0
2016-06-01,NA,NA,NA,0,NA,0
2016-06-02,NA,NA,NA,0,NA,0
2016-06-03,NA,NA,NA,0,NA,0
2016-06-06,NA,NA,NA,0,NA,0
2016-06-07,NA,NA,NA,0,NA,0
2016-06-08,NA,NA,NA,0,NA,0
