"Date","IEMG.Open","IEMG.High","IEMG.Low","IEMG.Close","IEMG.Volume","IEMG.Adjusted"
2014-03-11,51.052,51.257,50.394,46.810001,461200,43.388386
2014-03-12,50.286,50.631,50.059,46.900002,946900,43.471802
2014-03-13,50.76,50.76,49.52,46.02,554200,42.656128
2014-03-14,49.725,50.221,49.725,46.32,523100,42.934196
2014-03-17,50.329,50.631,50.253,46.84,359600,43.416183
2014-03-18,50.706,51.214,50.631,47.459999,491500,43.990864
2014-03-19,50.901,51.084,50.016,46.580002,812900,43.175194
2014-03-20,49.94,50.448,49.725,46.689999,631400,43.277149
2014-03-21,50.555,51.16,50.545,46.98,477500,43.545959
2014-03-24,50.901,51.073,50.674,47.23,916200,43.777683
2014-03-25,51.451,51.667,51.289,47.790001,491900,44.296749
2014-03-26,51.936,52.055,51.58,47.830002,1149900,44.333824
2014-03-27,51.721,52.271,51.623,48.43,394100,44.889965
2014-03-28,52.638,52.907,52.54,48.759998,426100,45.195847
2014-03-31,53.015,53.22,52.875,49.080002,1696200,45.492455
2014-04-01,53.382,53.565,53.242,49.59,3061400,45.965172
2014-04-02,53.425,53.738,53.339,49.799999,634200,46.159821
2014-04-03,53.501,53.511,52.94,49.5,1140300,45.881752
2014-04-04,53.889,54.321,53.253,49.419998,1098600,45.807602
2014-04-07,53.479,53.63,53.22,49.57,533900,45.946632
2014-04-08,54.072,54.45,53.965,50.139999,555400,46.474968
2014-04-09,54.342,54.774,53.889,50.580002,2859500,46.882809
2014-04-10,54.569,54.741,53.943,50.049999,1806100,46.391548
2014-04-11,53.663,54.04,53.663,50.040001,2366500,46.382286
2014-04-14,54.159,54.159,53.673,49.939999,644500,46.289585
2014-04-15,53.652,53.652,52.551,49.360001,1029200,45.751984
2014-04-16,53.565,53.878,53.414,49.900002,645100,46.252518
2014-04-17,53.846,54.439,53.706,50.279999,499400,46.60474
2014-04-21,54.213,54.213,53.878,50.110001,552600,46.447166
2014-04-22,54.029,54.116,53.9,49.98,1100300,46.326668
2014-04-23,53.695,53.695,53.306,49.650002,539800,46.02079
2014-04-24,53.749,53.749,53.209,49.720001,563200,46.085674
2014-04-25,53.048,53.048,52.648,49.07,596900,45.483185
2014-04-28,53.134,53.36,52.799,49.330002,601900,45.724178
2014-04-29,53.468,53.76,53.458,49.59,1024400,45.965172
2014-04-30,53.166,53.479,53.134,49.560001,662300,45.93737
2014-05-01,53.382,53.587,53.22,49.619999,550700,45.992981
2014-05-02,53.49,53.867,53.317,49.779999,3904000,46.141281
2014-05-05,53.458,53.511,53.253,49.580002,1792100,45.955906
2014-05-06,53.63,53.965,53.522,49.759998,407100,46.122746
2014-05-07,53.619,53.932,53.468,49.98,871500,46.326668
2014-05-08,54.062,54.202,53.846,49.93,304900,46.280323
2014-05-09,53.889,53.921,53.663,49.889999,644000,46.243244
2014-05-12,54.288,54.569,54.245,50.57,473800,46.873543
2014-05-13,54.774,54.914,54.601,50.740002,968100,47.031116
2014-05-14,54.936,55.227,54.698,51.060001,846400,47.327724
2014-05-15,55.076,55.076,54.418,50.650002,1306000,46.947693
2014-05-16,54.925,55.335,54.871,51.25,1700200,47.503838
2014-05-19,55.292,55.378,55.194,51.279999,4432400,47.531647
2014-05-20,55.097,55.205,54.731,50.82,659800,47.105263
