"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2012-02-17,40.421,40.421,40.117,36.950001,428700,34.005764
2012-02-21,40.247,40.269,39.736,36.720001,210600,33.794086
2012-02-22,39.823,39.997,39.617,36.509998,157100,33.600826
2012-02-23,39.725,40.171,39.508,36.959999,109900,34.014961
2012-02-24,40.182,40.29,40.062,36.91,99600,33.96896
2012-02-27,39.704,40.258,39.475,36.900002,186700,33.959747
2012-02-28,40.117,40.28,39.769,36.799999,78300,33.867714
2012-02-29,40.084,40.269,39.508,36.360001,156700,33.462772
2012-03-01,39.638,40.084,39.638,36.560001,1e+05,33.646847
2012-03-02,39.736,39.812,39.041,36.09,178600,33.214291
2012-03-05,39.084,39.171,38.834,36.02,227700,33.149868
2012-03-06,38.682,38.758,38.215,35.299999,397100,32.487236
2012-03-07,38.519,38.769,38.4,35.650002,215200,32.809353
2012-03-08,39.052,39.323,38.726,36.119999,205900,33.241901
2012-03-09,39.28,39.954,39.258,36.57,273300,33.656036
2012-03-12,39.812,39.856,39.465,36.470001,92000,33.564007
2012-03-13,39.975,40.432,39.801,37.200001,219400,34.235847
2012-03-14,40.399,40.54,40.019,36.990002,200500,34.042576
2012-03-15,40.149,40.54,40.04,37.299999,117100,34.327877
2012-03-16,40.616,40.616,40.356,37.240002,101000,34.272648
2012-03-19,40.226,40.789,40.15,37.41,145300,34.531105
2012-03-20,40.236,40.28,39.998,37.080002,200800,34.226513
2012-03-21,40.301,40.345,39.987,37.029999,113400,34.180351
2012-03-22,39.727,39.868,39.511,36.66,128900,33.838829
2012-03-23,39.76,40.074,39.424,36.970001,88200,34.124969
2012-03-26,40.518,40.789,40.475,37.599998,222500,34.706486
2012-03-27,40.778,40.886,40.54,37.419998,144000,34.54034
2012-03-28,40.583,40.659,39.998,37.220001,177000,34.355732
2012-03-29,40.063,40.301,39.76,37.150002,154000,34.291111
2012-03-30,40.507,40.507,40.009,37.080002,117100,34.226513
2012-04-02,40.052,40.616,39.976,37.419998,119500,34.54034
2012-04-03,40.475,40.648,40.193,37.27,151000,34.401882
2012-04-04,39.944,39.976,39.554,36.720001,205500,33.894215
2012-04-05,39.619,39.814,39.554,36.59,241000,33.774204
2012-04-09,38.904,39.142,38.828,36.029999,275300,33.257301
2012-04-10,38.893,38.969,37.983,35.130001,270900,32.426575
2012-04-11,38.427,38.644,38.351,35.619999,205600,32.878864
2012-04-12,38.676,39.337,38.644,36.200001,93900,33.414219
2012-04-13,39.121,39.131,38.676,35.740002,63500,32.989628
