"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2012-01-17,31.73,31.73,31.58,27.370001,6200,23.721172
2012-01-18,31.672,31.672,31.522,27.4,3800,23.747177
2012-01-19,31.626,31.661,31.557,27.440001,7000,23.781836
2012-01-20,31.649,31.649,31.58,27.389999,5000,23.738504
2012-01-23,31.661,31.661,31.522,27.4,2100,23.747177
2012-01-24,31.488,31.661,31.465,27.370001,5600,23.721172
2012-01-25,31.719,31.799,31.488,27.469999,8400,23.807835
2012-01-26,31.592,31.603,31.592,27.379999,700,23.729837
2012-01-27,31.765,31.765,31.615,27.440001,3500,23.781836
2012-01-30,31.695,31.753,31.695,27.469999,1700,23.807835
2012-01-31,31.684,31.753,31.661,27.469999,1200,23.807835
2012-02-01,31.616,31.72,31.558,27.450001,5600,23.815649
2012-02-02,31.731,31.731,31.65,27.5,4700,23.859035
2012-02-03,31.639,31.708,31.639,27.459999,7300,23.824331
2012-02-06,31.72,31.766,31.674,27.559999,9500,23.911087
2012-02-07,31.777,31.777,31.777,27.57,200,23.919765
2012-02-08,31.789,31.789,31.731,27.549999,5300,23.902411
2012-02-09,31.789,31.789,31.65,27.459999,12500,23.824331
2012-02-10,31.65,31.8,31.65,27.59,2800,23.937109
2012-02-13,31.674,31.789,31.65,27.58,3800,23.928436
2012-02-14,31.812,31.812,31.72,27.540001,3500,23.893732
2012-02-15,31.8,31.812,31.685,27.6,1800,23.945795
2012-02-16,31.8,31.8,31.697,27.5,2400,23.859035
2012-02-17,31.697,31.743,31.697,27.540001,3200,23.893732
2012-02-21,31.697,31.777,31.685,27.49,4300,23.850351
2012-02-22,31.754,31.8,31.697,27.59,2100,23.937109
2012-02-23,31.777,31.789,31.697,27.5,2600,23.859035
2012-02-24,31.731,31.789,31.731,27.559999,2500,23.911087
2012-02-27,31.697,31.8,31.65,27.59,3100,23.937109
2012-02-28,31.685,31.789,31.65,27.52,8700,23.876381
2012-02-29,31.777,31.777,31.708,27.51,4600,23.867702
2012-03-01,31.679,31.679,31.599,27.450001,2100,23.84598
