"Date","VGIT.Open","VGIT.High","VGIT.Low","VGIT.Close","VGIT.Volume","VGIT.Adjusted"
2015-11-16,66.457,66.488,66.333,64.620003,25600,62.853439
2015-11-17,66.241,66.436,66.241,64.589996,27300,62.824268
2015-11-18,66.354,66.385,66.292,64.540001,17800,62.775639
2015-11-19,66.395,66.457,66.395,64.620003,18700,62.853439
2015-11-20,66.467,66.467,66.333,64.529999,25700,62.7659
2015-11-23,66.303,66.446,66.282,64.559998,32500,62.79509
2015-11-24,66.477,66.518,66.416,64.629997,41600,62.863178
2015-11-25,66.426,66.508,66.375,64.669998,16000,62.902081
2015-11-27,66.56,66.59,66.529,64.739998,7700,62.970169
2015-11-30,66.467,66.57,66.467,64.669998,93100,62.902081
2015-12-01,66.325,66.572,66.325,64.779999,109800,63.094929
2015-12-02,66.397,66.438,66.325,64.660004,47100,62.978054
2015-12-03,66.182,66.253,65.925,64.339996,82100,62.666393
2015-12-04,66.161,66.243,66.099,64.419998,79400,62.744312
2015-12-07,66.13,66.377,66.13,64.589996,31800,62.909885
2015-12-08,66.366,66.377,66.284,64.610001,23800,62.929359
2015-12-09,66.294,66.469,66.233,64.690002,34000,63.007275
2015-12-10,66.438,66.438,66.284,64.559998,42800,62.880646
2015-12-11,66.469,66.726,66.469,64.959999,131700,63.270252
2015-12-14,66.52,66.582,66.336,64.650002,46400,62.968315
2015-12-15,66.202,66.284,66.151,64.449997,27100,62.773521
2015-12-16,66.192,66.49,65.822,64.389999,40300,62.715076
2015-12-17,66.151,66.253,66.14,64.5,33800,62.822212
2015-12-18,66.315,66.654,66.294,64.68,76800,62.99754
2015-12-21,66.428,66.448,66.387,64.669998,46200,62.987801
2015-12-22,66.305,66.366,66.243,64.580002,71400,62.900131
2015-12-23,65.95,65.97,65.868,64.339996,90800,62.798618
2015-12-24,65.97,66.001,65.94,64.379997,42300,62.837662
2015-12-28,66.011,66.052,65.95,64.400002,55700,62.857189
2015-12-29,65.95,65.95,65.745,64.18,39200,62.642464
2015-12-30,65.735,65.868,65.735,64.220001,73700,62.681507
2015-12-31,65.95,66.022,65.847,64.440002,327200,62.896244
2016-01-04,66.063,66.186,66.042,64.470001,118700,62.925499
2016-01-05,66.063,66.145,66.001,64.489998,73500,62.945026
2016-01-06,66.257,66.472,66.165,64.879997,87900,63.32568
2016-01-07,66.462,66.462,66.237,64.860001,47700,63.306171
2016-01-08,66.421,66.616,66.37,65.010002,205400,63.452587
2016-01-11,66.483,66.575,66.442,64.900002,100300,63.345219
2016-01-12,66.431,66.852,66.411,65.040001,322000,63.481857
2016-01-13,66.667,66.882,66.585,65.269997,90600,63.706352
2016-01-14,66.79,66.862,66.626,65.160004,81500,63.598984
2016-01-15,67.077,67.108,66.913,65.379997,160900,63.813717
2016-01-19,66.903,66.964,66.831,65.309998,511500,63.745392
2016-01-20,67.067,67.272,67.046,65.510002,264300,63.940601
2016-01-21,67.118,67.21,66.995,65.419998,109600,63.852745
