"Date","SCHR.Open","SCHR.High","SCHR.Low","SCHR.Close","SCHR.Volume","SCHR.Adjusted"
2012-12-20,57.408,57.408,57.355,54.049999,7800,50.935284
2012-12-21,57.461,57.472,57.408,54.119999,20600,51.001255
2012-12-24,57.366,57.408,57.366,54.099998,5800,50.982399
2012-12-26,57.419,57.472,57.419,54.150002,30700,51.02953
2012-12-27,57.343,57.502,57.343,54.16,28100,51.07856
2012-12-28,57.512,57.523,57.459,54.209999,6500,51.125721
2012-12-31,57.459,57.491,57.289,54.080002,20900,51.003117
2013-01-02,57.279,57.311,57.236,54.029999,112600,50.955948
2013-01-03,57.289,57.289,57.099,53.860001,81700,50.795631
2013-01-04,57.088,57.13,57.046,53.84,12500,50.776783
2013-01-07,57.109,57.152,57.099,53.889999,22200,50.82391
2013-01-08,57.194,57.215,57.183,53.950001,24200,50.880501
2013-01-09,57.236,57.289,57.205,54.009998,78200,50.937099
2013-01-10,57.194,57.205,57.162,53.91,201700,50.842793
2013-01-11,57.109,57.236,57.109,53.970001,25000,50.899376
2013-01-14,57.289,57.311,57.247,54.02,22900,50.946522
2013-01-15,57.374,57.374,57.321,54.07,15700,50.993664
2013-01-16,57.406,57.406,57.332,54.080002,6400,51.003117
2013-01-17,57.258,57.258,57.194,53.970001,84300,50.899376
2013-01-18,57.258,57.311,57.247,54.029999,64400,50.955948
2013-01-22,57.236,57.353,57.236,54.07,10900,50.993664
2013-01-23,57.385,57.385,57.332,54.080002,41600,51.003117
2013-01-24,57.343,57.343,57.268,54.029999,27300,50.955948
2013-01-25,57.152,57.152,57.024,53.810001,19000,50.748478
2013-01-28,56.929,56.993,56.929,53.75,50200,50.691875
2013-01-29,57.003,57.035,56.961,53.720001,29900,50.663605
2013-01-30,56.94,57.014,56.929,53.759998,35700,50.701321
2013-01-31,57.024,57.024,56.971,53.75,56200,50.691875
2013-02-01,57.087,57.087,56.843,53.650002,173100,50.636211
2013-02-04,56.97,57.055,56.949,53.82,23400,50.79665
2013-02-05,56.939,56.949,56.917,53.73,25900,50.711708
2013-02-06,57.002,57.055,56.981,53.84,63500,50.81554
2013-02-07,57.044,57.108,57.044,53.849998,44400,50.824974
2013-02-08,57.066,57.076,56.981,53.849998,47500,50.824974
2013-02-11,57.034,57.076,57.034,53.84,13800,50.81554
2013-02-12,56.949,57.013,56.949,53.77,15900,50.749466
2013-02-13,56.875,56.917,56.833,53.68,79000,50.664513
2013-02-14,56.928,57.002,56.896,53.779999,10900,50.758904
2013-02-15,56.949,56.981,56.907,53.75,10400,50.730583
2013-02-19,57.023,57.023,56.917,53.740002,22000,50.721169
2013-02-20,56.886,56.992,56.886,53.77,24400,50.749466
2013-02-21,57.087,57.097,57.034,53.830002,20400,50.806084
2013-02-22,57.066,57.087,57.044,53.869999,15700,50.843842
2013-02-25,57.044,57.309,57.044,54.080002,16000,51.042049
2013-02-26,57.267,57.384,57.267,54.099998,6200,51.060917
2013-02-27,57.394,57.394,57.278,54.07,50500,51.032604
2013-02-28,57.32,57.352,57.299,54.130001,17900,51.089226
2013-03-01,57.292,57.335,57.292,54.130001,140400,51.123241
2013-03-04,57.335,57.335,57.282,54.099998,15100,51.094902
2013-03-05,57.261,57.261,57.208,54.049999,9200,51.04768
2013-03-06,57.165,57.187,57.134,53.959999,22900,50.962685
2013-03-07,57.059,57.059,56.996,53.830002,18600,50.839912
2013-03-08,56.848,56.89,56.827,53.709999,17700,50.726559
2013-03-11,56.879,56.89,56.848,53.700001,11500,50.717125
2013-03-12,56.901,56.964,56.901,53.790001,13900,50.802124
2013-03-13,56.911,56.943,56.869,53.75,14000,50.764339
2013-03-14,56.869,56.964,56.858,53.790001,46300,50.802124
2013-03-15,56.911,57.059,56.911,53.860001,27500,50.868233
2013-03-18,57.176,57.176,57.123,54,74200,51.000454
2013-03-19,57.187,57.271,57.187,54.049999,30200,51.04768
2013-03-20,57.187,57.187,57.144,53.970001,13500,50.972134
2013-03-21,57.208,57.218,57.176,54.009998,7600,51.009907
2013-03-22,57.218,57.229,57.155,54.029999,14000,51.028793
2013-03-25,57.187,57.261,57.155,54.07,13300,51.066563
2013-03-26,57.197,57.292,57.187,54.080002,17300,51.076008
2013-03-27,57.398,57.43,57.388,54.220001,10500,51.208248
2013-03-28,57.345,57.398,57.345,54.169998,16000,51.161018
2013-04-01,57.291,57.355,57.291,54.18,61000,51.209217
2013-04-02,57.302,57.302,57.26,54.130001,32400,51.161964
2013-04-03,57.313,57.44,57.313,54.290001,17900,51.31319
2013-04-04,57.482,57.545,57.471,54.380001,10800,51.398254
2013-04-05,57.619,57.651,57.588,54.439999,15200,51.454952
2013-04-08,57.588,57.609,57.524,54.380001,16000,51.398254
2013-04-09,57.577,57.588,57.524,54.369999,22100,51.388802
2013-04-10,57.482,57.482,57.397,54.27,29300,51.294277
2013-04-11,57.45,57.471,57.418,54.299999,154700,51.322647
2013-04-12,57.545,57.588,57.535,54.43,43900,51.445507
2013-04-15,57.598,57.651,57.577,54.490002,17800,51.502224
2013-04-16,57.577,57.598,57.566,54.43,128800,51.445507
2013-04-17,57.577,57.662,57.577,54.459999,16500,51.47385
2013-04-18,57.662,57.662,57.598,54.450001,17700,51.46442
2013-04-19,57.619,57.619,57.577,54.43,21500,51.445507
2013-04-22,57.641,57.651,57.619,54.459999,50200,51.47385
2013-04-23,57.662,57.767,57.598,54.439999,31600,51.454952
2013-04-24,57.609,57.641,57.609,54.48,40500,51.492775
2013-04-25,57.609,57.619,57.566,54.459999,13100,51.47385
2013-04-26,57.683,57.715,57.672,54.540001,22500,51.549488
2013-04-29,57.767,57.767,57.715,54.560001,28500,51.56839
2013-04-30,57.789,57.789,57.704,54.560001,43700,51.56839
2013-05-01,57.718,57.76,57.697,54.59,106900,51.631756
2013-05-02,57.718,57.739,57.697,54.580002,20400,51.622311
2013-05-03,57.57,57.57,57.443,54.34,10800,51.395298
2013-05-06,57.485,57.485,57.401,54.32,44500,51.376381
2013-05-07,57.401,57.411,57.379,54.279999,36800,51.338554
2013-05-08,57.401,57.453,57.401,54.310001,30300,51.366924
2013-05-09,57.422,57.496,57.401,54.32,41700,51.376381
2013-05-10,57.358,57.358,57.157,54.130001,30800,51.196686
2013-05-13,57.189,57.2,57.157,54.080002,13000,51.149399
2013-05-14,57.21,57.221,57.052,53.959999,62400,51.035904
2013-05-15,57.179,57.179,57.073,54.029999,24300,51.102097
2013-05-16,57.242,57.337,57.242,54.169998,17300,51.234509
2013-05-17,57.253,57.253,57.115,54.040001,35500,51.111553
2013-05-20,57.179,57.189,57.105,54.009998,10400,51.083172
2013-05-21,57.115,57.2,57.052,54.099998,21700,51.168304
2013-05-22,57.231,57.274,56.946,53.860001,49300,50.941307
2013-05-23,57.073,57.073,56.925,53.880001,16800,50.960228
2013-05-24,56.999,57.041,56.946,53.860001,17400,50.941307
2013-05-28,56.893,56.893,56.608,53.540001,43700,50.638657
2013-05-29,56.597,56.682,56.565,53.610001,94000,50.704868
2013-05-30,56.703,56.756,56.65,53.639999,45600,50.733227
2013-05-31,56.756,56.756,56.491,53.540001,40300,50.638657
2013-06-03,56.469,56.712,56.469,53.560001,83600,50.696407
2013-06-04,56.522,56.575,56.501,53.52,12600,50.658524
2013-06-05,56.564,56.67,56.564,53.619999,20900,50.753193
2013-06-06,56.628,56.839,56.585,53.619999,11300,50.753193
2013-06-07,56.564,56.585,56.416,53.400002,25300,50.544952
2013-06-10,56.321,56.385,56.279,53.32,35400,50.469227
2013-06-11,56.205,56.374,56.194,53.360001,18500,50.507092
2013-06-12,56.311,56.395,56.258,53.25,11500,50.402962
2013-06-13,56.321,56.48,56.321,53.459999,29300,50.601753
2013-06-14,56.585,56.67,56.585,53.599998,243000,50.734261
2013-06-17,56.659,56.659,56.522,53.52,13800,50.658524
2013-06-18,56.437,56.543,56.437,53.509998,17900,50.649055
2013-06-19,56.522,56.522,55.962,53.02,13100,50.185261
2013-06-20,55.856,55.962,55.772,52.91,20900,50.081142
2013-06-21,55.825,55.825,55.508,52.540001,55500,49.730923
2013-06-24,55.212,55.487,55.191,52.439999,18700,49.636265
2013-06-25,55.55,55.55,55.349,52.41,333200,49.607887
2013-06-26,55.561,55.571,55.413,52.540001,16000,49.730923
2013-06-27,55.624,55.687,55.582,52.709999,11200,49.89185
2013-06-28,55.55,55.666,55.529,52.68,13800,49.863449
2013-07-01,55.505,55.61,55.505,52.66,55400,49.885227
2013-07-02,55.61,55.621,55.557,52.669998,24800,49.894722
2013-07-03,55.652,55.674,55.557,52.630001,10800,49.856804
2013-07-05,55.104,55.114,54.966,52.07,11800,49.326313
2013-07-08,55.104,55.241,55.104,52.299999,30300,49.544209
2013-07-09,55.262,55.294,55.241,52.34,27000,49.582092
2013-07-10,55.315,55.315,55.167,52.259998,16500,49.506294
2013-07-11,55.389,55.526,55.389,52.59,19100,49.818901
2013-07-12,55.684,55.684,55.42,52.540001,18700,49.771564
2013-07-15,55.515,55.589,55.515,52.630001,11600,49.856804
2013-07-16,55.663,55.663,55.579,52.700001,43500,49.923115
2013-07-17,55.811,55.832,55.737,52.82,13800,50.036793
2013-07-18,55.769,55.769,55.642,52.709999,24100,49.932598
2013-07-19,55.726,55.811,55.726,52.849998,62000,50.065212
2013-07-22,55.79,55.832,55.779,52.869999,29200,50.084152
2013-07-23,55.726,55.779,55.695,52.810001,36500,50.027332
2013-07-24,55.589,55.6,55.484,52.630001,35800,49.856804
2013-07-25,55.484,55.631,55.484,52.700001,21900,49.923115
2013-07-26,55.674,55.674,55.621,52.73,255900,49.951538
2013-07-29,55.674,55.684,55.589,52.700001,22800,49.923115
2013-07-30,55.663,55.684,55.621,52.689999,10000,49.913654
2013-07-31,55.42,55.652,55.399,52.700001,13600,49.923115
2013-08-01,55.443,55.443,55.21,52.360001,52700,49.647194
2013-08-02,55.39,55.559,55.39,52.650002,35800,49.922184
2013-08-05,55.485,55.506,55.443,52.599998,15300,49.874763
2013-08-06,55.464,55.495,55.453,52.599998,12700,49.874763
2013-08-07,55.506,55.59,55.506,52.709999,13800,49.979061
2013-08-08,55.601,55.643,55.601,52.73,7900,49.99802
2013-08-09,55.632,55.632,55.569,52.73,6700,49.99802
2013-08-12,55.717,55.717,55.569,52.689999,10700,49.960106
2013-08-13,55.379,55.379,55.253,52.41,35500,49.694618
2013-08-14,55.242,55.326,55.242,52.43,15900,49.713585
2013-08-15,55.158,55.253,55.052,52.310001,24100,49.599781
2013-08-16,55.147,55.147,54.926,52.169998,2113600,49.467033
2013-08-19,54.957,54.968,54.894,52.080002,47200,49.381714
2013-08-20,55.021,55.105,55.021,52.240002,41200,49.533409
2013-08-21,55.042,55.084,54.525,52.009998,32800,49.315323
2013-08-22,54.841,54.873,54.673,51.91,176300,49.220512
