"Date","ITR.Open","ITR.High","ITR.Low","ITR.Close","ITR.Volume","ITR.Adjusted"
2010-06-30,40.503,40.615,40.466,32.720001,21700,26.376053
2010-07-01,40.341,40.403,40.304,32.619999,10000,26.376873
2010-07-02,40.304,40.353,40.267,32.580002,21600,26.344522
2010-07-06,40.168,40.44,40.168,32.66,42100,26.409212
2010-07-07,40.403,40.452,40.341,32.689999,41300,26.433466
2010-07-08,40.353,40.39,40.254,32.650002,13900,26.401117
2010-07-09,40.378,40.378,40.267,32.650002,15200,26.401117
2010-07-12,40.403,40.452,40.353,32.630001,34700,26.384949
2010-07-13,40.366,40.477,40.353,32.720001,11100,26.457737
2010-07-14,40.551,40.588,40.378,32.82,18500,26.538588
2010-07-15,40.588,40.675,40.563,32.82,25100,26.538588
2010-07-16,40.699,40.761,40.687,32.950001,13300,26.643711
2010-07-19,40.749,40.798,40.712,32.959999,6800,26.651796
2010-07-20,40.761,40.823,40.687,32.959999,9300,26.651796
2010-07-21,40.811,40.897,40.737,33.07,22900,26.740742
2010-07-22,40.823,40.86,40.712,33.040001,5300,26.71649
2010-07-23,40.835,40.873,40.774,32.990002,44300,26.676054
2010-07-26,40.786,40.823,40.662,32.98,36900,26.667965
2010-07-27,40.823,40.848,40.687,32.91,60300,26.611364
2010-07-28,40.835,40.91,40.786,33.080002,7900,26.748837
2010-07-29,40.922,40.984,40.848,33.139999,42300,26.79734
2010-07-30,41.058,41.108,40.947,33.220001,7900,26.86204
2010-08-02,40.849,40.874,40.751,33.110001,6100,26.853106
2010-08-03,40.911,40.911,40.751,33.07,94300,26.820669
2010-08-04,40.714,40.923,40.714,33.07,24200,26.820669
2010-08-05,40.726,40.837,40.714,33.049999,11000,26.804451
2010-08-06,40.862,40.936,40.812,33.18,8400,26.909883
2010-08-09,40.862,40.886,40.763,33.16,17500,26.89366
2010-08-10,40.862,40.899,40.751,33.099998,21200,26.845005
2010-08-11,41.084,41.133,40.948,33.360001,17500,27.055866
2010-08-12,41.145,41.145,40.849,33.130001,28100,26.869343
2010-08-13,41.096,41.096,40.923,33.279999,13500,26.990978
2010-08-16,41.195,41.256,41.108,33.369999,25500,27.063978
2010-08-17,41.244,41.244,41.071,33.310001,10800,27.015318
2010-08-18,41.318,41.318,41.108,33.34,5300,27.039646
2010-08-19,41.121,41.207,41.096,33.419998,10800,27.10453
2010-08-20,41.071,41.232,41.01,33.360001,10200,27.055866
2010-08-23,41.281,41.306,41.084,33.41,9000,27.096418
2010-08-24,41.404,41.417,41.256,33.549999,16400,27.209967
2010-08-25,41.454,41.466,41.232,33.450001,54000,27.12886
2010-08-26,41.306,41.355,41.232,33.5,11500,27.169416
2010-08-27,41.133,41.293,41.059,33.32,37800,27.023426
2010-08-30,41.269,41.343,41.17,33.490002,13200,27.161308
2010-08-31,41.392,41.392,41.047,33.299999,78900,27.007212
2010-09-01,41.038,41.038,40.866,33.279999,21700,27.069843
2010-09-02,40.841,40.952,40.841,33.310001,9200,27.094252
2010-09-03,40.878,40.939,40.792,33.18,14700,26.988499
2010-09-07,41.013,41.075,40.878,33.41,9600,27.175585
2010-09-08,40.939,40.976,40.878,33.310001,10400,27.094252
2010-09-09,40.939,40.939,40.669,33.110001,19600,26.931564
2010-09-10,40.817,40.878,40.792,33.220001,15600,27.021034
2010-09-13,40.73,40.952,40.73,33.259998,26500,27.053574
2010-09-14,40.903,41.038,40.903,33.330002,20300,27.110518
2010-09-15,41.062,41.062,40.915,33.310001,17700,27.094252
2010-09-16,41.001,41.013,40.903,33.299999,3200,27.086115
2010-09-17,41.087,41.087,40.927,33.349998,19900,27.126789
2010-09-20,41.112,41.112,40.952,33.369999,6800,27.143045
2010-09-21,41.21,41.271,40.915,33.52,12100,27.265059
2010-09-22,41.284,41.345,41.21,33.599998,13700,27.330126
2010-09-23,41.382,41.382,41.21,33.560001,7800,27.297594
2010-09-24,41.247,41.271,41.136,33.540001,34900,27.281321
2010-09-27,41.173,41.321,41.161,33.580002,11700,27.313869
2010-09-28,41.345,41.419,41.185,33.560001,33500,27.297594
2010-09-29,41.296,41.296,41.21,33.52,8700,27.265059
2010-09-30,41.247,41.333,41.235,33.57,36400,27.305719
2010-10-01,41.139,41.139,41.004,33.529999,10100,27.353043
2010-10-04,41.212,41.286,41.053,33.490002,113400,27.32041
2010-10-05,41.126,41.212,41.077,33.619999,30600,27.42646
2010-10-06,41.433,41.519,41.323,33.810001,661900,27.581453
2010-10-07,41.224,41.421,41.224,33.759998,22700,27.540674
2010-10-08,41.47,41.47,41.347,33.779999,13400,27.556976
2010-10-11,41.531,41.531,41.335,33.799999,6300,27.573298
2010-10-12,41.494,41.494,41.335,33.790001,9700,27.565149
2010-10-13,41.421,41.47,41.335,33.830002,38200,27.597784
2010-10-14,41.237,41.359,41.188,33.650002,11400,27.450939
2010-10-15,41.261,41.286,41.053,33.5,7100,27.328566
2010-10-18,41.261,41.323,41.163,33.700001,14500,27.491724
2010-10-19,41.188,41.347,41.188,33.669998,12300,27.467251
2010-10-20,41.384,41.421,41.335,33.77,23200,27.548838
2010-10-21,41.433,41.433,41.298,33.73,15000,27.51619
2010-10-22,41.347,41.359,41.249,33.740002,12200,27.524351
2010-10-25,41.359,41.433,41.323,33.790001,17800,27.565149
2010-10-26,41.31,41.323,41.212,33.66,15700,27.459089
2010-10-27,41.2,41.212,41.053,33.490002,20800,27.32041
2010-10-28,41.323,41.335,41.126,33.650002,22500,27.450939
2010-10-29,41.396,41.396,41.298,33.77,7600,27.548838
2010-11-01,41.174,41.285,41.064,33.610001,12700,27.492382
2010-11-02,41.26,41.26,41.089,33.700001,16000,27.566006
2010-11-03,41.358,41.358,40.759,33.580002,640000,27.467854
